,Date,Open,High,Low,Close,Volume,Market Cap,Circulating Supply
0,2021-12-04,5.67,5.68,4.56,4.99,14882050.0,747418973.0,149783361.0
1,2021-12-03,6.01,6.13,5.35,5.69,20230819.0,851747052.0,149691924.0
2,2021-12-02,5.9,6.0,5.23,6.0,19050735.0,898244728.0,149707454.0
3,2021-12-01,6.0,6.24,5.87,5.9,9533412.0,884584921.0,149929647.0
4,2021-11-30,6.07,6.19,5.74,6.0,9121034.0,898687185.0,149781197.0
5,2021-11-29,6.32,6.43,6.06,6.07,8598870.0,909969264.0,149912564.0
6,2021-11-28,6.25,6.33,5.64,6.32,10912331.0,946395709.0,149746156.0
7,2021-11-27,6.1,6.57,6.1,6.24,8973324.0,935425165.0,149907879.0
8,2021-11-26,7.22,7.22,5.98,6.11,17587248.0,915662532.0,149862934.0
9,2021-11-25,7.03,7.29,6.9,7.16,12779442.0,1073355651.0,149910007.0
10,2021-11-24,7.67,7.7,6.98,7.51,16436234.0,1125777140.0,149903747.0
11,2021-11-23,7.7,8.07,7.5,7.67,16629367.0,1149011318.0,149805908.0
12,2021-11-22,7.87,8.42,7.57,7.7,21804191.0,1153932220.0,149861327.0
13,2021-11-21,7.16,8.0,6.97,7.87,15156741.0,1178603762.0,149759054.0
14,2021-11-20,7.3,7.45,6.95,7.16,7322215.0,1072920358.0,149849212.0
15,2021-11-19,7.09,7.66,6.96,7.3,7875500.0,1093382241.0,149778389.0
16,2021-11-18,8.19,8.22,6.84,7.09,16010742.0,1062306179.0,149831619.0
17,2021-11-17,7.3,8.78,7.19,8.19,26734720.0,1227660644.0,149897514.0
18,2021-11-16,7.27,7.33,6.47,7.31,18528585.0,1094738299.0,149759001.0
19,2021-11-15,7.94,7.97,7.17,7.27,7617764.0,1089139022.0,149812795.0
20,2021-11-14,7.83,8.26,7.69,7.94,8928918.0,1189763104.0,149844219.0
21,2021-11-13,7.78,7.9,7.47,7.83,8175064.0,1172480934.0,149742137.0
22,2021-11-12,8.31,8.34,7.11,7.77,16000827.0,1164207301.0,149833629.0
23,2021-11-11,7.85,8.89,7.56,8.3,15019231.0,1243614416.0,149833062.0
24,2021-11-10,9.0,9.07,7.42,7.85,23593205.0,1175443231.0,149737991.0
25,2021-11-09,9.38,9.4,8.92,9.03,12669722.0,1352783143.0,149809871.0
26,2021-11-08,9.89,9.92,9.02,9.37,21121785.0,1404032330.0,149843364.0
27,2021-11-07,9.01,9.99,8.96,9.91,24033154.0,1485394541.0,149888450.0
28,2021-11-06,9.01,9.04,8.69,9.02,8894853.0,1351237209.0,149804568.0
29,2021-11-05,8.87,9.35,8.82,9.0,14880225.0,1348683130.0,149853681.0
30,2021-11-04,9.21,9.29,8.53,8.87,16409163.0,1329344364.0,149869714.0
31,2021-11-03,9.6,10.02,8.84,9.21,24310954.0,1379973075.0,149834210.0
32,2021-11-02,8.76,10.01,8.52,9.59,36235518.0,1437215616.0,149866070.0
33,2021-11-01,8.5,9.59,8.49,8.76,23357453.0,1312527520.0,149831908.0
34,2021-10-31,8.89,9.04,8.08,8.5,18316174.0,1273122852.0,149779159.0
35,2021-10-30,8.93,9.7,8.81,8.87,22817568.0,1328630749.0,149789261.0
36,2021-10-29,9.86,10.23,8.83,8.93,29087822.0,1338292694.0,149864803.0
37,2021-10-28,8.74,10.64,8.72,9.87,68482976.0,1478721061.0,149819763.0
38,2021-10-27,7.99,9.82,7.3,8.73,72770593.0,1308599041.0,149896797.0
39,2021-10-26,7.92,9.66,7.66,7.99,126851638.0,1196549058.0,149755827.0
40,2021-10-25,6.21,8.03,6.2,7.95,46193397.0,1190603025.0,149761386.0
41,2021-10-24,6.13,6.35,5.98,6.22,11279507.0,931533773.0,149764272.0
42,2021-10-23,6.57,7.01,6.08,6.12,32561919.0,917283271.0,149882887.0
43,2021-10-22,5.24,6.98,5.23,6.6,86953396.0,988715055.0,149805311.0
44,2021-10-21,5.38,5.56,5.07,5.25,16850316.0,786716612.0,149850783.0
45,2021-10-20,4.61,5.39,4.44,5.37,13429057.0,805133841.0,149931813.0
46,2021-10-19,4.63,4.7,4.46,4.61,4445298.0,690041480.0,149683618.0
47,2021-10-18,4.85,4.95,4.49,4.63,7227990.0,693564594.0,149797968.0
48,2021-10-17,4.96,5.03,4.74,4.85,5671009.0,725952870.0,149681004.0
49,2021-10-16,4.79,5.05,4.77,4.97,6559807.0,743865625.0,149671151.0
50,2021-10-15,5.34,5.38,4.75,4.79,13116541.0,718080071.0,149912332.0
51,2021-10-14,5.52,5.65,5.18,5.33,21771401.0,799216039.0,149946724.0
52,2021-10-13,5.31,5.59,4.91,5.51,22749899.0,825955558.0,149901190.0
53,2021-10-12,6.98,6.98,5.11,5.3,41471712.0,794261015.0,149860568.0
54,2021-10-11,5.22,7.01,5.22,6.96,71516828.0,484966806.0,69679138.0
55,2021-10-10,4.89,5.39,4.64,5.22,28828905.0,363980636.0,69728091.0
56,2021-10-09,3.77,5.11,3.75,4.88,29138321.0,340112396.0,69695163.0
57,2021-10-08,3.64,3.88,3.6,3.77,7185793.0,262605347.0,69656590.0
58,2021-10-07,3.34,3.96,3.25,3.64,13234729.0,253715516.0,69702064.0
59,2021-10-06,3.53,3.64,2.97,3.35,14620093.0,233696336.0,69760100.0
60,2021-10-05,3.52,4.41,3.37,3.53,21186925.0,246209369.0,69747696.0
61,2021-10-04,2.95,3.65,2.84,3.55,11831130.0,247430615.0,69698764.0
62,2021-10-03,2.59,3.15,2.53,2.95,6559455.0,205843989.0,69777623.0
63,2021-10-02,2.32,2.74,2.31,2.61,6613793.0,182228341.0,69819287.0
64,2021-10-01,1.93,2.33,1.9,2.32,2755600.0,162059749.0,69853340.0
65,2021-09-30,1.83,1.97,1.81,1.93,1563953.0,134648875.0,69766256.0
66,2021-09-29,1.86,2.0,1.78,1.83,1835802.0,127329748.0,69579097.0
67,2021-09-28,2.04,2.12,1.85,1.85,1674146.0,129143920.0,69807524.0
68,2021-09-27,2.17,2.35,2.04,2.04,1643007.0,142379173.0,69793712.0
69,2021-09-26,2.2,2.24,2.0,2.17,1744647.0,151109746.0,69635827.0
70,2021-09-25,2.28,2.32,2.08,2.2,2441515.0,153328756.0,69694889.0
71,2021-09-24,2.15,2.33,1.84,2.19,3115779.0,152717122.0,69733845.0
72,2021-09-23,1.92,2.2,1.9,2.15,3670795.0,149938253.0,69738722.0
73,2021-09-22,1.7,1.93,1.65,1.92,1905980.0,134117968.0,69853108.0
74,2021-09-21,1.88,1.99,1.66,1.7,2433617.0,118231080.0,69547694.0
75,2021-09-20,2.24,2.28,1.88,1.88,3033892.0,131314880.0,69848340.0
76,2021-09-19,2.33,2.34,2.15,2.24,3764952.0,156312782.0,69782491.0
77,2021-09-18,2.04,2.43,2.03,2.32,5779785.0,161963870.0,69812012.0
78,2021-09-17,2.05,2.11,1.93,2.04,2509079.0,142408555.0,69808115.0
79,2021-09-16,2.2,2.26,2.0,2.05,3581833.0,143116078.0,69812720.0
80,2021-09-15,2.01,2.22,1.85,2.19,4366175.0,152744816.0,69746491.0
81,2021-09-14,2.06,2.11,1.93,2.01,5112333.0,140450601.0,69875920.0
82,2021-09-13,2.3,2.3,2.05,2.05,5076860.0,143144425.0,69826548.0
83,2021-09-12,2.3,2.39,2.2,2.3,5349467.0,160168453.0,69638457.0
84,2021-09-11,2.18,2.63,2.17,2.3,15807944.0,160095858.0,69606894.0
85,2021-09-10,1.91,2.2,1.88,2.19,8710436.0,152412149.0,69594588.0
86,2021-09-09,1.78,2.0,1.69,1.91,5620200.0,133121965.0,69697363.0
87,2021-09-08,1.63,1.76,1.46,1.73,3760378.0,120623270.0,69724433.0
88,2021-09-07,1.91,1.97,1.5,1.64,5078893.0,114149559.0,69603389.0
89,2021-09-06,1.88,1.96,1.84,1.91,4049155.0,133282939.0,69781643.0
90,2021-09-05,1.75,1.91,1.73,1.88,3624890.0,131025621.0,69694479.0
91,2021-09-04,1.77,1.83,1.72,1.75,3116581.0,121718691.0,69553537.0
92,2021-09-03,1.62,1.91,1.6,1.77,13834524.0,123255008.0,69635597.0
93,2021-09-02,1.62,1.65,1.59,1.62,2802829.0,112795453.0,69626822.0
94,2021-09-01,1.58,1.63,1.56,1.62,1739922.0,112649029.0,69536437.0
95,2021-08-31,1.53,1.6,1.49,1.58,1936668.0,109881383.0,69545179.0
96,2021-08-30,1.61,1.62,1.52,1.53,2103110.0,106413378.0,69551227.0
97,2021-08-29,1.63,1.66,1.59,1.61,2055714.0,112257904.0,69725406.0
98,2021-08-28,1.73,1.74,1.62,1.63,2410280.0,113693206.0,69750433.0
99,2021-08-27,1.62,1.77,1.57,1.72,2431376.0,119910849.0,69715609.0
