,Date,Open,High,Low,Close,Volume,Market Cap,Circulating Supply
0,2021-12-03,233.6,239.12,207.33,211.22,4061060881.0,64558936438.0,305647838.0
1,2021-12-02,229.85,243.11,220.39,233.99,4074103518.0,71518119084.0,305646049.0
2,2021-12-01,208.39,232.39,208.15,229.8,3532771294.0,70205130263.0,305505353.0
3,2021-11-30,204.23,218.34,200.08,208.67,2888387657.0,63474034538.0,304183804.0
4,2021-11-29,200.82,212.45,199.95,204.32,2110532147.0,62150466026.0,304181998.0
5,2021-11-28,193.28,201.63,182.37,200.68,2033215941.0,61015258056.0,304042545.0
6,2021-11-27,192.28,199.36,191.04,193.1,1443178833.0,58712372882.0,304051646.0
7,2021-11-26,210.05,210.5,184.33,191.51,3380122748.0,58202794171.0,303915169.0
8,2021-11-25,205.89,216.4,202.32,206.25,2586718627.0,62683039785.0,303917768.0
9,2021-11-24,221.86,222.46,200.5,214.92,2293934142.0,65288283324.0,303779468.0
10,2021-11-23,215.84,226.06,211.31,221.84,2328763768.0,67389034178.0,303773143.0
11,2021-11-22,230.99,231.9,212.03,215.74,3254258844.0,65536232118.0,303774136.0
12,2021-11-21,217.78,235.23,210.81,231.28,2636480460.0,70258708497.0,303782032.0
13,2021-11-20,215.41,221.45,206.29,218.02,2003638941.0,66198655326.0,303635700.0
14,2021-11-19,195.07,219.37,189.75,215.28,3431624914.0,65368257588.0,303642965.0
15,2021-11-18,218.88,222.88,187.67,195.49,3911214658.0,59331802493.0,303503005.0
16,2021-11-17,219.3,222.03,210.03,218.72,2982505239.0,66373496998.0,303463318.0
17,2021-11-16,238.5,238.5,215.44,219.24,3557977024.0,66531928024.0,303466192.0
18,2021-11-15,238.73,245.98,235.1,237.55,2414551003.0,72029066276.0,303216444.0
19,2021-11-14,241.86,242.04,230.69,238.43,1705211600.0,72293544194.0,303206577.0
20,2021-11-13,228.6,241.83,225.08,241.83,2322796265.0,73293750861.0,303079646.0
21,2021-11-12,233.72,238.7,221.25,228.5,3022054714.0,69224723049.0,302952836.0
22,2021-11-11,233.91,246.45,229.75,234.24,2693456862.0,70963380125.0,302951588.0
23,2021-11-10,239.13,247.95,218.39,233.78,3873202098.0,70752977716.0,302647693.0
24,2021-11-09,248.36,253.18,237.9,239.21,2819309492.0,72397587680.0,302652847.0
25,2021-11-08,249.98,253.25,241.14,248.47,3344410176.0,75198457438.0,302646023.0
26,2021-11-07,258.78,258.85,246.12,249.82,2624869522.0,75574730065.0,302516732.0
27,2021-11-06,236.49,260.06,235.29,258.93,3869779683.0,77993805663.0,301215794.0
28,2021-11-05,247.27,248.38,231.16,236.47,2752870913.0,71196323358.0,301079728.0
29,2021-11-04,243.1,250.47,235.15,247.39,4440296290.0,74482231058.0,301072117.0
30,2021-11-03,221.08,246.32,216.2,242.9,6024951132.0,73130864696.0,301073959.0
31,2021-11-02,203.52,222.23,201.18,220.24,3020087232.0,66278399298.0,300937156.0
32,2021-11-01,202.63,211.36,198.24,203.55,3157612663.0,61255124967.0,300934045.0
33,2021-10-31,195.77,205.16,186.06,202.42,2577364486.0,61003141450.0,301369140.0
34,2021-10-30,200.23,200.39,187.82,195.42,1732207667.0,58865399788.0,301225052.0
35,2021-10-29,194.91,204.9,194.91,200.18,2468703579.0,60301394604.0,301235860.0
36,2021-10-28,184.52,201.05,182.22,194.86,3463958628.0,58672510570.0,301100844.0
37,2021-10-27,199.87,205.4,178.73,183.77,4552692842.0,55333662364.0,301102804.0
38,2021-10-26,209.53,213.98,197.49,199.81,3194205752.0,60161132950.0,301091701.0
39,2021-10-25,202.32,218.73,198.2,210.1,4837376169.0,63232871504.0,300965594.0
40,2021-10-24,197.97,204.72,185.57,202.36,3413057378.0,60902871290.0,300962993.0
41,2021-10-23,196.3,205.67,192.56,197.7,3253670286.0,59473993983.0,300829509.0
42,2021-10-22,190.45,214.04,188.27,196.43,7486821306.0,59091364718.0,300826578.0
43,2021-10-21,176.77,193.6,176.77,190.32,6865815461.0,57226164606.0,300683925.0
44,2021-10-20,155.88,176.44,155.2,175.95,3315306825.0,52904574750.0,300679595.0
45,2021-10-19,157.21,159.41,153.22,156.02,1400902548.0,46912067427.0,300679832.0
46,2021-10-18,160.0,162.86,155.03,157.23,1698878759.0,47254003672.0,300540632.0
47,2021-10-17,157.46,167.43,154.09,159.74,2168838138.0,47991515200.0,300435177.0
48,2021-10-16,163.01,164.71,156.74,157.54,1531502795.0,47304541727.0,300270037.0
49,2021-10-15,150.05,165.12,146.98,162.6,3970589003.0,48823235028.0,300265898.0
50,2021-10-14,148.02,155.33,147.33,149.76,1948101208.0,44950465986.0,300150013.0
51,2021-10-13,152.52,155.35,144.41,148.18,2105226551.0,44438380256.0,299894589.0
52,2021-10-12,145.01,153.26,137.81,152.74,2853992440.0,45806350192.0,299897539.0
53,2021-10-11,147.8,153.92,140.36,144.86,1851795187.0,43418344986.0,299726252.0
54,2021-10-10,156.75,158.36,146.9,148.05,1556965341.0,44350090749.0,299561572.0
55,2021-10-09,158.7,161.41,154.87,156.83,1522023824.0,46957713350.0,299417926.0
56,2021-10-08,154.26,168.85,152.76,158.95,2781848650.0,47593592988.0,299424932.0
57,2021-10-07,153.96,161.36,150.54,154.28,2579187256.0,45995023049.0,298126931.0
58,2021-10-06,164.61,165.36,150.77,154.11,3259712887.0,45922341980.0,297984180.0
59,2021-10-05,166.99,169.98,160.59,164.12,2541087419.0,48902559644.0,297968313.0
60,2021-10-04,172.96,172.96,162.77,166.73,3109040100.0,49659370563.0,297843043.0
61,2021-10-03,169.11,176.97,166.07,172.59,3149579954.0,51403969859.0,297838634.0
62,2021-10-02,161.59,174.9,156.32,169.09,3471658582.0,50362758463.0,297845871.0
63,2021-10-01,141.38,164.74,138.44,161.68,4387488320.0,48133442239.0,297708079.0
64,2021-09-30,135.41,142.85,134.31,141.07,2244376110.0,41975552359.0,297551232.0
65,2021-09-29,132.34,140.04,131.23,135.35,2428105040.0,40274326399.0,297556899.0
66,2021-09-28,136.51,139.29,128.24,131.54,2422542861.0,39121381241.0,297410530.0
67,2021-09-27,135.93,148.5,133.98,136.73,2867246888.0,40665406680.0,297413930.0
68,2021-09-26,136.22,140.78,125.12,135.7,2674182809.0,40359412133.0,297416449.0
69,2021-09-25,139.3,144.07,134.11,136.18,2037106949.0,40483409214.0,297278669.0
70,2021-09-24,149.94,151.2,128.8,139.4,3852350632.0,41439741432.0,297272176.0
71,2021-09-23,148.06,152.36,143.2,149.75,3389212044.0,44498459173.0,297151647.0
72,2021-09-22,124.18,150.94,122.35,147.92,4952222859.0,43948674199.0,297111101.0
73,2021-09-21,132.76,144.47,116.34,123.95,5243953819.0,36826034434.0,297103948.0
74,2021-09-20,152.79,153.39,131.26,132.13,5623667250.0,39239569158.0,296976985.0
75,2021-09-19,169.23,170.65,151.25,152.52,3350530308.0,45292491129.0,296960996.0
76,2021-09-18,147.45,171.14,144.39,169.18,5415012910.0,50219084924.0,296838189.0
77,2021-09-17,152.35,153.44,135.25,147.59,4675731485.0,43810237551.0,296837438.0
78,2021-09-16,158.81,163.12,147.65,152.47,3215168472.0,45259139925.0,296839640.0
79,2021-09-15,158.42,166.18,154.24,159.12,3908939772.0,47209150397.0,296688979.0
80,2021-09-14,169.77,171.3,143.55,158.09,5799758794.0,46905809823.0,296703205.0
81,2021-09-13,174.42,174.93,150.97,169.27,6437530449.0,49682465101.0,293510161.0
82,2021-09-12,179.23,181.57,170.58,174.54,3012633094.0,51204891389.0,293370524.0
83,2021-09-11,179.37,193.41,175.57,178.87,5367389010.0,52475356326.0,293371478.0
84,2021-09-10,187.61,196.95,168.69,179.87,7087524572.0,52738113948.0,293201278.0
85,2021-09-09,209.47,214.96,181.45,188.2,12676272744.0,55154395898.0,293062677.0
86,2021-09-08,173.28,197.99,147.99,191.04,13187213606.0,55944567504.0,292842166.0
87,2021-09-07,164.18,194.82,133.1,173.15,17068643416.0,50680710100.0,292698296.0
88,2021-09-06,142.06,165.88,138.04,164.38,5774090688.0,47900300588.0,291399808.0
89,2021-09-05,138.99,145.0,135.08,142.07,2996918105.0,41399255561.0,291400405.0
90,2021-09-04,146.42,150.43,136.45,139.11,3970422964.0,40517769039.0,291264244.0
91,2021-09-03,128.39,148.83,128.39,146.58,7526373837.0,42693513645.0,291264249.0
92,2021-09-02,110.73,131.96,109.65,128.1,5074399603.0,37259468690.0,290862362.0
93,2021-09-01,107.44,119.53,106.27,111.03,3974443896.0,32279142628.0,290724512.0
94,2021-08-31,109.76,130.01,103.35,108.48,7590894022.0,31578154529.0,291096557.0
95,2021-08-30,94.34,116.85,94.04,110.54,5274104165.0,32162385738.0,290956990.0
96,2021-08-29,96.56,97.78,90.99,94.47,1830344091.0,27485451270.0,290943699.0
97,2021-08-28,88.0,97.84,85.79,96.7,2580080503.0,28135310599.0,290954608.0
98,2021-08-27,74.81,88.85,72.72,88.09,3263988286.0,25615973857.0,290793209.0
99,2021-08-26,71.97,78.06,66.26,75.32,2713050538.0,21902216868.0,290788859.0
100,2021-08-25,70.68,72.7,66.22,71.95,1551240766.0,20923790994.0,290810159.0
101,2021-08-24,75.78,79.37,68.62,70.67,2153611667.0,20541377500.0,290666159.0
102,2021-08-23,72.77,76.71,71.68,75.71,1372134245.0,21708006370.0,286725747.0
103,2021-08-22,73.87,77.48,71.55,72.8,968933849.0,20875322466.0,286748934.0
104,2021-08-21,78.7,81.81,72.7,73.76,1513097171.0,21137257124.0,286568019.0
105,2021-08-20,72.75,79.99,70.94,78.72,1844455899.0,22561143908.0,286599897.0
106,2021-08-19,72.84,75.09,68.61,72.76,2467398203.0,20840771193.0,286431709.0
107,2021-08-18,64.17,80.12,60.27,72.54,4507409622.0,20779131389.0,286450667.0
108,2021-08-17,62.12,74.89,58.98,64.21,4043742154.0,18392377588.0,286441015.0
109,2021-08-16,53.54,68.82,52.47,62.43,3799339365.0,17874089307.0,286306091.0
110,2021-08-15,44.15,54.63,43.45,53.75,1448656564.0,15386975521.0,286269312.0
111,2021-08-14,44.85,44.87,42.94,44.11,363834257.0,12629306463.0,286313907.0
112,2021-08-13,41.11,44.9,40.72,44.89,541894525.0,12769451326.0,284460933.0
113,2021-08-12,41.7,43.4,39.38,41.1,527833804.0,11689996880.0,284428147.0
