,Date,Open,High,Low,Close,Volume,Market Cap,Circulating Supply
0,2021-12-06,42.57,44.14,37.54,42.01,11264917.0,128570617.0,3060476.0
1,2021-12-05,38.53,49.67,36.68,42.44,67255702.0,129864087.0,3059945.0
2,2021-12-04,45.34,49.4,35.41,38.51,8210612.0,116963926.0,3037235.0
3,2021-12-03,47.25,47.4,44.63,45.34,2511311.0,137687831.0,3036784.0
4,2021-12-02,47.47,47.61,46.15,47.31,2413007.0,143654708.0,3036455.0
5,2021-12-01,47.41,48.1,47.05,47.34,2047002.0,143695915.0,3035401.0
6,2021-11-30,47.54,49.45,46.78,47.4,3419148.0,143879159.0,3035425.0
7,2021-11-29,46.8,50.03,46.43,47.6,3302755.0,144470150.0,3035087.0
8,2021-11-28,46.69,47.13,45.0,46.83,2772851.0,141989994.0,3032030.0
9,2021-11-27,46.23,47.49,45.94,46.7,2823401.0,141605883.0,3032245.0
10,2021-11-26,49.21,49.26,45.36,46.19,5968249.0,140060519.0,3032269.0
11,2021-11-25,48.29,51.49,47.72,48.09,3606761.0,145815609.0,3032139.0
12,2021-11-24,49.13,49.2,47.23,48.16,3284509.0,145882090.0,3029113.0
13,2021-11-23,48.59,49.25,47.99,49.08,3248573.0,148639496.0,3028514.0
14,2021-11-22,49.65,51.24,48.19,48.67,3810008.0,147406345.0,3028690.0
15,2021-11-21,50.16,51.7,49.45,49.73,3638102.0,150618697.0,3028729.0
16,2021-11-20,49.88,50.23,49.04,50.12,4445879.0,151813614.0,3029002.0
17,2021-11-19,48.53,49.98,47.95,49.86,3979242.0,150160966.0,3011651.0
18,2021-11-18,52.31,56.42,47.7,48.59,25860231.0,146312385.0,3011162.0
19,2021-11-17,52.36,56.77,49.26,52.34,39730293.0,157628173.0,3011619.0
20,2021-11-16,53.82,53.82,48.79,52.53,6058191.0,158175667.0,3011149.0
21,2021-11-15,52.38,54.34,51.62,53.82,10524013.0,162086279.0,3011636.0
22,2021-11-14,52.39,53.18,50.54,52.37,2233491.0,157707918.0,3011417.0
23,2021-11-13,52.84,53.04,51.37,52.36,2299602.0,157673090.0,3011327.0
24,2021-11-12,53.71,53.71,50.77,52.91,3489828.0,159335288.0,3011439.0
25,2021-11-11,52.37,54.4,51.23,54.02,13955748.0,162665367.0,3011206.0
26,2021-11-10,54.55,55.84,51.79,52.36,5484345.0,157683928.0,3011534.0
27,2021-11-09,55.43,56.05,54.24,54.59,5487246.0,164392193.0,3011397.0
28,2021-11-08,53.73,56.28,53.14,55.29,8143310.0,166508548.0,3011549.0
29,2021-11-07,53.93,55.19,53.13,53.7,3346641.0,161712717.0,3011410.0
30,2021-11-06,53.4,55.05,52.17,53.85,5607771.0,162174789.0,3011602.0
31,2021-11-05,54.43,54.95,52.99,53.47,4691629.0,161007338.0,3011171.0
32,2021-11-04,54.84,54.91,52.69,54.45,5572249.0,163983638.0,3011637.0
33,2021-11-03,54.92,54.92,52.76,54.84,6948464.0,165157134.0,3011618.0
34,2021-11-02,54.58,55.37,53.64,54.9,6894632.0,165313801.0,3011180.0
35,2021-11-01,55.61,55.86,53.03,54.58,6111091.0,164355864.0,3011283.0
36,2021-10-31,54.23,55.79,52.76,55.57,11249376.0,167179294.0,3008445.0
37,2021-10-30,53.57,55.81,52.23,54.06,9636916.0,162618490.0,3008111.0
38,2021-10-29,51.93,54.37,51.28,53.58,4858820.0,161182527.0,3008259.0
39,2021-10-28,49.42,53.28,48.58,51.91,3463816.0,156171386.0,3008502.0
40,2021-10-27,53.63,53.82,47.54,49.44,8800163.0,148745911.0,3008614.0
41,2021-10-26,54.11,54.4,53.24,53.67,3851272.0,160991421.0,2999653.0
42,2021-10-25,55.33,55.6,52.67,54.11,5301277.0,162305904.0,2999554.0
43,2021-10-24,55.31,56.4,51.36,55.32,9942499.0,165929738.0,2999452.0
44,2021-10-23,53.39,63.04,53.39,55.26,135070571.0,165759512.0,2999629.0
45,2021-10-22,52.31,58.05,52.21,53.49,26322617.0,160461796.0,2999846.0
46,2021-10-21,53.97,54.95,52.13,52.27,5902624.0,156798827.0,2999786.0
47,2021-10-20,52.96,55.32,51.52,53.78,5054275.0,161322521.0,2999674.0
48,2021-10-19,51.84,54.37,50.84,52.92,3986075.0,158726930.0,2999375.0
49,2021-10-18,52.25,52.25,50.3,51.8,3741451.0,155384121.0,2999693.0
50,2021-10-17,52.83,54.38,50.92,52.27,3175316.0,156785392.0,2999529.0
51,2021-10-16,53.19,54.77,51.65,52.79,5073226.0,158358882.0,2999789.0
52,2021-10-15,56.54,57.62,52.1,53.16,12327483.0,159448459.0,2999406.0
53,2021-10-14,57.94,57.94,55.5,56.64,10613538.0,169890343.0,2999476.0
54,2021-10-13,54.55,58.06,53.2,58.01,27742743.0,174021024.0,2999845.0
55,2021-10-12,56.9,69.84,52.53,54.78,88668817.0,163749836.0,2989226.0
56,2021-10-11,58.4,59.44,54.73,56.88,7935175.0,170006083.0,2988855.0
57,2021-10-10,58.79,62.56,56.89,58.37,38623748.0,174462137.0,2988900.0
58,2021-10-09,63.74,63.74,57.4,59.91,17017515.0,179079987.0,2989150.0
59,2021-10-08,61.6,65.18,58.88,63.64,34358665.0,190207190.0,2988799.0
60,2021-10-07,59.99,61.6,57.42,61.6,25467507.0,184120915.0,2988975.0
61,2021-10-06,58.64,59.94,54.81,59.94,26396570.0,179173139.0,2989208.0
62,2021-10-05,55.2,59.55,54.42,58.73,20104769.0,175535797.0,2988860.0
63,2021-10-04,56.49,58.36,53.93,55.13,30324492.0,164790202.0,2989120.0
64,2021-10-03,57.77,58.98,54.96,56.47,20889237.0,168783123.0,2988898.0
65,2021-10-02,55.02,63.96,54.26,57.79,139209403.0,172737704.0,2989058.0
66,2021-10-01,50.96,55.05,49.0,55.01,10906389.0,164437590.0,2989230.0
67,2021-09-30,46.78,51.32,45.19,51.04,11839479.0,152563087.0,2989088.0
68,2021-09-29,44.96,48.61,44.22,46.8,5462319.0,139886849.0,2989035.0
69,2021-09-28,47.98,48.9,44.88,44.89,4719249.0,134187039.0,2989241.0
70,2021-09-27,48.22,50.42,47.64,47.99,5193262.0,143436938.0,2988892.0
71,2021-09-26,49.44,51.23,46.13,48.2,3917943.0,143126117.0,2969421.0
72,2021-09-25,49.28,51.54,47.03,49.44,8518788.0,146807886.0,2969415.0
73,2021-09-24,52.69,53.95,45.35,49.29,9948778.0,146358124.0,2969326.0
74,2021-09-23,51.24,53.98,49.09,52.71,6904757.0,156513954.0,2969340.0
75,2021-09-22,45.97,53.59,45.01,51.2,8214686.0,152035273.0,2969438.0
76,2021-09-21,49.04,54.42,45.53,45.8,23749434.0,135984730.0,2969098.0
77,2021-09-20,57.4,62.16,47.89,49.06,19921657.0,145661152.0,2969041.0
78,2021-09-19,60.21,60.22,56.9,57.37,4337697.0,170360481.0,2969504.0
79,2021-09-18,57.49,60.27,57.05,60.27,5421699.0,178947262.0,2969093.0
80,2021-09-17,60.18,60.38,57.19,57.48,8243451.0,170672937.0,2969257.0
81,2021-09-16,60.03,62.06,58.45,60.24,12244773.0,178873889.0,2969354.0
82,2021-09-15,59.41,60.68,57.57,59.78,10010906.0,177501180.0,2969240.0
83,2021-09-14,57.79,61.26,56.87,60.88,8185997.0,180765194.0,2969204.0
84,2021-09-13,60.91,60.91,55.27,57.84,8933484.0,171747892.0,2969361.0
85,2021-09-12,59.66,61.26,57.74,60.96,8977030.0,181005683.0,2969253.0
86,2021-09-11,59.11,62.92,57.24,59.69,11879869.0,177236640.0,2969285.0
87,2021-09-10,64.69,64.69,57.63,59.07,17087777.0,175408913.0,2969509.0
88,2021-09-09,59.18,66.0,57.72,64.69,48011630.0,192095377.0,2969475.0
89,2021-09-08,62.15,62.87,53.63,59.61,35350399.0,176986927.0,2969081.0
90,2021-09-07,70.95,71.01,55.68,62.21,22909651.0,184721337.0,2969319.0
91,2021-09-06,70.5,72.78,68.71,70.9,34362044.0,210508388.0,2969088.0
92,2021-09-05,70.41,75.6,66.0,70.89,60998358.0,210497130.0,2969348.0
93,2021-09-04,68.03,70.33,67.17,70.33,39846468.0,208832590.0,2969324.0
94,2021-09-03,66.68,68.33,64.95,67.82,23088018.0,201386633.0,2969428.0
95,2021-09-02,64.92,68.75,64.3,66.49,55770473.0,197440863.0,2969482.0
96,2021-09-01,64.37,65.24,61.95,64.88,16099489.0,192635060.0,2969097.0
97,2021-08-31,62.14,65.93,60.28,64.31,35929326.0,190954995.0,2969289.0
98,2021-08-30,64.49,64.84,61.34,62.06,22524023.0,184205974.0,2968191.0
99,2021-08-29,63.68,64.8,62.29,64.39,15214056.0,190975485.0,2965918.0
100,2021-08-28,66.42,66.42,62.98,64.79,22485937.0,192163233.0,2965939.0
101,2021-08-27,63.73,66.23,60.6,66.1,40459139.0,196055928.0,2966050.0
102,2021-08-26,63.59,67.74,60.59,63.73,132547069.0,188998953.0,2965619.0
103,2021-08-25,62.29,65.71,59.92,63.59,27554044.0,188572283.0,2965439.0
104,2021-08-24,67.87,68.79,62.01,62.29,48271627.0,184650673.0,2964371.0
105,2021-08-23,70.63,74.53,65.19,67.49,181569499.0,200077242.0,2964546.0
106,2021-08-22,59.71,77.16,58.63,70.48,607316538.0,208924479.0,2964308.0
107,2021-08-21,57.49,63.71,55.11,59.36,116391403.0,175795505.0,2961514.0
108,2021-08-20,54.26,57.48,53.05,57.13,19730133.0,169143969.0,2960685.0
109,2021-08-19,53.48,54.35,51.4,54.28,10270040.0,160690983.0,2960408.0
110,2021-08-18,53.65,53.65,50.66,53.38,13327184.0,157996974.0,2959853.0
111,2021-08-17,54.74,55.48,52.17,53.66,21832800.0,158732665.0,2958118.0
112,2021-08-16,55.67,55.7,54.01,54.61,12134879.0,161504614.0,2957418.0
113,2021-08-15,56.2,56.2,53.64,55.7,14871112.0,164699210.0,2956897.0
114,2021-08-14,55.06,56.25,53.04,55.75,28319226.0,164822398.0,2956455.0
115,2021-08-13,53.59,55.2,52.13,55.12,18306157.0,162950907.0,2956293.0
116,2021-08-12,55.2,55.73,51.1,53.61,25589635.0,158452253.0,2955647.0
117,2021-08-11,53.9,56.7,52.83,55.12,38908804.0,162875239.0,2954920.0
118,2021-08-10,53.3,54.07,51.95,53.74,17772796.0,158763361.0,2954286.0
119,2021-08-09,53.22,54.73,50.72,53.36,26330563.0,157624237.0,2953977.0
120,2021-08-08,52.53,57.13,51.56,53.77,96243987.0,158799320.0,2953307.0
121,2021-08-07,51.9,52.93,50.91,52.62,24784342.0,155382907.0,2952924.0
122,2021-08-06,51.37,52.02,49.05,51.91,14993338.0,153241065.0,2952052.0
123,2021-08-05,51.52,51.52,49.84,51.23,17984152.0,151208573.0,2951563.0
124,2021-08-04,49.01,55.21,47.46,51.54,146940373.0,152091671.0,2950944.0
125,2021-08-03,50.25,50.25,48.17,48.98,12447080.0,144480128.0,2949778.0
126,2021-08-02,47.88,53.9,47.19,50.02,165902425.0,146928327.0,2937391.0
127,2021-08-01,51.17,51.17,47.66,47.89,14828817.0,140676165.0,2937485.0
128,2021-07-31,50.93,51.83,49.25,51.28,25426738.0,150591787.0,2936657.0
129,2021-07-30,52.17,52.17,47.96,51.03,37810244.0,149827436.0,2936065.0
130,2021-07-29,55.78,55.78,50.7,52.7,44596777.0,154717931.0,2935824.0
131,2021-07-28,55.57,63.48,53.03,55.74,182063401.0,163611585.0,2935263.0
