,Date,Open,High,Low,Close,Volume,Market Cap,Circulating Supply
0,2021-12-06,0.3243,0.3254,0.2711,0.299,1609379.0,150097927.0,501999755.0
1,2021-12-05,0.3357,0.3406,0.3215,0.3243,641731.0,162769434.0,501910064.0
2,2021-12-04,0.3385,0.3394,0.3125,0.3352,2403469.0,168151909.0,501646506.0
3,2021-12-03,0.3758,0.3758,0.3315,0.338,1711216.0,169566754.0,501676786.0
4,2021-12-02,0.3776,0.3884,0.3695,0.3748,1404689.0,187945291.0,501454885.0
5,2021-12-01,0.3872,0.4085,0.3773,0.378,1523996.0,189565209.0,501495261.0
6,2021-11-30,0.3653,0.3937,0.3634,0.387,1829083.0,194093671.0,501534033.0
7,2021-11-29,0.3452,0.3682,0.3398,0.3652,2362812.0,183116528.0,501414370.0
8,2021-11-28,0.3423,0.3482,0.332,0.3455,568631.0,172978070.0,500660115.0
9,2021-11-27,0.3425,0.3675,0.3416,0.3422,866396.0,171315103.0,500628588.0
10,2021-11-26,0.3607,0.3657,0.3349,0.3426,1183918.0,171515385.0,500628677.0
11,2021-11-25,0.3591,0.3692,0.3544,0.362,1102125.0,181223599.0,500617676.0
12,2021-11-24,0.3792,0.385,0.3576,0.3789,2038343.0,189710580.0,500687727.0
13,2021-11-23,0.3721,0.3929,0.3696,0.3785,2118788.0,189477615.0,500601360.0
14,2021-11-22,0.4112,0.4113,0.3702,0.3721,2204595.0,186310333.0,500699631.0
15,2021-11-21,0.418,0.4273,0.4044,0.4112,1276223.0,205889979.0,500705201.0
16,2021-11-20,0.3948,0.4203,0.3947,0.4179,827465.0,209203747.0,500607195.0
17,2021-11-19,0.3635,0.3988,0.3595,0.3948,1406630.0,190542771.0,482631132.0
18,2021-11-18,0.3867,0.3922,0.3524,0.3635,1447088.0,175449891.0,482668200.0
19,2021-11-17,0.3623,0.4705,0.356,0.3867,1144964.0,186638821.0,482644998.0
20,2021-11-16,0.3959,0.3961,0.3624,0.3624,2304312.0,174934678.0,482711583.0
21,2021-11-15,0.4261,0.4465,0.3895,0.3956,1582044.0,190974339.0,482746054.0
22,2021-11-14,0.4068,0.4281,0.4012,0.4261,1057968.0,205686450.0,482718727.0
23,2021-11-13,0.3856,0.4092,0.3809,0.4066,1818156.0,196270990.0,482712715.0
24,2021-11-12,0.4103,0.4134,0.3809,0.3854,2396843.0,186004759.0,482627812.0
25,2021-11-11,0.4125,0.4376,0.4082,0.4104,2355019.0,198100916.0,482702037.0
26,2021-11-10,0.4668,0.478,0.4052,0.4124,3816563.0,199037549.0,482632272.0
