,Date,Open,High,Low,Close,Volume,Market Cap,Circulating Supply
0,2021-12-04,1.61,1.63,1.35,1.55,22477882.0,439120456.0,283303520.0
1,2021-12-03,1.74,1.8,1.6,1.61,15792204.0,456285642.0,283407231.0
2,2021-12-02,1.93,1.93,1.7,1.74,22052207.0,493373428.0,283547947.0
3,2021-12-01,2.02,2.07,1.9,1.94,23999758.0,547424684.0,282177672.0
4,2021-11-30,2.24,2.27,1.99,2.01,17605609.0,569503906.0,283335276.0
5,2021-11-29,2.37,2.38,2.2,2.24,18079522.0,634564370.0,283287665.0
6,2021-11-28,2.33,2.38,2.11,2.37,27147173.0,670331009.0,282840088.0
7,2021-11-27,2.1,2.41,2.06,2.33,28656635.0,658771287.0,282734457.0
8,2021-11-26,2.15,2.32,1.84,2.11,41629205.0,597252371.0,283057995.0
9,2021-11-25,2.31,2.46,2.04,2.44,54431176.0,690296663.0,282908468.0
10,2021-11-24,2.05,2.42,1.88,1.96,51402432.0,553452309.0,282373627.0
11,2021-11-23,1.8,2.25,1.71,2.05,53093083.0,580705319.0,283270887.0
12,2021-11-22,1.5,1.82,1.5,1.8,36778672.0,509241798.0,282912110.0
13,2021-11-21,1.49,1.5,1.44,1.5,10596695.0,423359273.0,282239515.0
14,2021-11-20,1.36,1.48,1.35,1.48,13633012.0,419822032.0,283663535.0
15,2021-11-19,1.21,1.38,1.2,1.36,10119418.0,384811067.0,282949313.0
16,2021-11-18,1.29,1.34,1.18,1.21,15939590.0,342903282.0,283391142.0
17,2021-11-17,1.12,1.34,1.09,1.3,14073632.0,366437492.0,281874993.0
18,2021-11-16,1.2,1.2,1.09,1.11,11199051.0,314625106.0,283446041.0
19,2021-11-15,1.3,1.3,1.17,1.2,9516797.0,340310220.0,283591850.0
20,2021-11-14,1.36,1.38,1.29,1.3,7769029.0,368207801.0,283236770.0
21,2021-11-13,1.3,1.41,1.29,1.37,8036397.0,386100314.0,281825046.0
22,2021-11-12,1.33,1.38,1.22,1.3,24756888.0,366568981.0,281976139.0
23,2021-11-11,1.17,1.36,1.16,1.33,14874018.0,374919422.0,281894302.0
24,2021-11-10,1.28,1.32,1.17,1.17,15066253.0,331249938.0,283119605.0
25,2021-11-09,1.17,1.37,1.14,1.28,41070810.0,362497262.0,283200985.0
26,2021-11-08,1.07,1.18,1.02,1.17,10842024.0,331796982.0,283587164.0
27,2021-11-07,0.9749,1.08,0.9659,1.07,6911582.0,303993844.0,284106396.0
28,2021-11-06,1.05,1.07,0.962,0.9768,6806423.0,276228453.0,282789161.0
29,2021-11-05,1.1,1.14,1.05,1.05,10299851.0,297663581.0,283489124.0
30,2021-11-04,1.04,1.2,1.02,1.1,31597245.0,310873963.0,282612693.0
31,2021-11-03,0.8978,1.08,0.8727,1.04,30371280.0,293629208.0,282335776.0
32,2021-11-02,0.7472,0.912,0.7471,0.8977,15346637.0,253864457.0,282794315.0
33,2021-11-01,0.8075,0.8075,0.7384,0.7469,4935094.0,211205887.0,282776659.0
34,2021-10-31,0.7327,0.8518,0.7301,0.8105,10893860.0,229204600.0,282794077.0
35,2021-10-30,0.6432,0.8073,0.6251,0.7319,12843599.0,206969552.0,282783921.0
36,2021-10-29,0.6483,0.663,0.5971,0.6415,6667004.0,181417284.0,282801689.0
37,2021-10-28,0.6004,0.6484,0.5756,0.6483,3447156.0,183333096.0,282790522.0
38,2021-10-27,0.6443,0.6505,0.5996,0.6005,2784536.0,169812322.0,282784882.0
39,2021-10-26,0.6633,0.6789,0.6435,0.6443,2980145.0,182186251.0,282766181.0
40,2021-10-25,0.6595,0.6817,0.658,0.6642,2772985.0,187833137.0,282796050.0
41,2021-10-24,0.6843,0.6862,0.6485,0.6596,2277948.0,186536769.0,282802863.0
42,2021-10-23,0.6947,0.7021,0.6795,0.6836,2226128.0,193314685.0,282789182.0
43,2021-10-22,0.6887,0.7135,0.6731,0.6946,2911674.0,196417092.0,282777270.0
44,2021-10-21,0.7237,0.8056,0.6859,0.6884,7815401.0,194677139.0,282796541.0
45,2021-10-20,0.69,0.775,0.6598,0.7237,5431893.0,204644745.0,282775659.0
46,2021-10-19,0.7213,0.7239,0.6641,0.6901,2652755.0,195150054.0,282785181.0
47,2021-10-18,0.7464,0.7485,0.6869,0.7213,3455921.0,203966742.0,282776572.0
48,2021-10-17,0.7039,0.7819,0.6826,0.7463,9258452.0,211050488.0,282795776.0
49,2021-10-16,0.6347,0.8828,0.6237,0.7035,24240747.0,198934963.0,282778909.0
50,2021-10-15,0.5266,0.6482,0.525,0.6349,8478743.0,179539588.0,282784041.0
51,2021-10-14,0.547,0.5507,0.52,0.5266,2550677.0,148919714.0,282794747.0
52,2021-10-13,0.5273,0.5635,0.5201,0.547,2555011.0,154691528.0,282799868.0
53,2021-10-12,0.5508,0.5588,0.514,0.527,2920159.0,149029851.0,282789091.0
54,2021-10-11,0.5714,0.5828,0.5435,0.5508,2228782.0,155749569.0,282769733.0
55,2021-10-10,0.6123,0.6222,0.5707,0.5714,2053539.0,161586425.0,282790383.0
56,2021-10-09,0.5933,0.6159,0.5859,0.6124,2084082.0,173172358.0,282776548.0
57,2021-10-08,0.6259,0.6282,0.5847,0.5933,3096406.0,167772425.0,282778400.0
58,2021-10-07,0.629,0.6496,0.6131,0.6259,2528110.0,176987012.0,282772027.0
59,2021-10-06,0.5705,0.6355,0.5508,0.6291,3693189.0,177906256.0,282794875.0
60,2021-10-05,0.5589,0.5939,0.5431,0.5705,3020062.0,161321676.0,282772438.0
61,2021-10-04,0.6299,0.6321,0.5366,0.5589,5580126.0,158053312.0,282793544.0
62,2021-10-03,0.6313,0.6321,0.6045,0.6295,2769719.0,178024859.0,282803588.0
63,2021-10-02,0.6395,0.6539,0.6245,0.6315,2131374.0,178576723.0,282781825.0
64,2021-10-01,0.5398,0.6515,0.5349,0.6393,4012138.0,180796947.0,282804547.0
65,2021-09-30,0.5111,0.5455,0.5092,0.5399,2281375.0,152689342.0,282810413.0
66,2021-09-29,0.4899,0.5121,0.4885,0.5101,3056162.0,144260875.0,282809008.0
67,2021-09-28,0.5591,0.56,0.4886,0.4898,4926767.0,138509776.0,282788436.0
68,2021-09-27,0.5712,0.5824,0.5523,0.5593,2946578.0,158153010.0,282769551.0
69,2021-09-26,0.572,0.5819,0.5503,0.5713,2557641.0,161557895.0,282789943.0
70,2021-09-25,0.6051,0.6075,0.5682,0.5715,2486572.0,161618157.0,282796425.0
71,2021-09-24,0.6452,0.649,0.5795,0.6058,2032209.0,171310081.0,282783230.0
72,2021-09-23,0.6609,0.6634,0.6348,0.6451,2585704.0,182432684.0,282797525.0
73,2021-09-22,0.5907,0.6615,0.5894,0.6607,3597799.0,186840937.0,282792397.0
74,2021-09-21,0.593,0.6252,0.57,0.5897,3764084.0,166745811.0,282763796.0
75,2021-09-20,0.6952,0.6964,0.5681,0.5932,5489971.0,167757316.0,282800600.0
76,2021-09-19,0.6928,0.7251,0.6848,0.6952,3064022.0,196589878.0,282781757.0
77,2021-09-18,0.7204,0.7268,0.6893,0.6926,3169610.0,195851970.0,282777894.0
78,2021-09-17,0.7112,0.7449,0.7064,0.7202,3063827.0,203651880.0,282771285.0
79,2021-09-16,0.8482,0.8547,0.7004,0.7122,5250980.0,201387541.0,282768240.0
