,Date,Open,High,Low,Close,Volume,Market Cap,Circulating Supply
0,2021-12-06,0.08987,0.09547,0.08017,0.09438,15329592.0,46783871.0,495696874.0
1,2021-12-05,0.09818,0.1078,0.087,0.08973,12222306.0,44473324.0,495634949.0
2,2021-12-04,0.1126,0.113,0.08086,0.09819,11030464.0,48666846.0,495639535.0
3,2021-12-03,0.1184,0.1521,0.1106,0.1127,34045770.0,55850370.0,495566725.0
4,2021-12-02,0.1187,0.1201,0.1106,0.1183,11738622.0,58573233.0,495124539.0
5,2021-12-01,0.1099,0.1261,0.1081,0.1189,13900588.0,58886752.0,495262842.0
6,2021-11-30,0.1119,0.1137,0.1084,0.1099,7450669.0,54450443.0,495454440.0
7,2021-11-29,0.111,0.114,0.1095,0.1119,6915808.0,55430482.0,495357301.0
8,2021-11-28,0.1109,0.1112,0.1031,0.1109,6736261.0,54922384.0,495242416.0
9,2021-11-27,0.1045,0.1166,0.1041,0.1108,9518256.0,54870949.0,495225171.0
10,2021-11-26,0.1205,0.1226,0.1026,0.1044,10802345.0,51664299.0,494868764.0
11,2021-11-25,0.1131,0.1235,0.112,0.1129,9384832.0,55868364.0,494848219.0
12,2021-11-24,0.1152,0.1193,0.1108,0.1127,10079422.0,55772701.0,494877559.0
13,2021-11-23,0.1125,0.1161,0.1089,0.1157,9935408.0,57275184.0,495031840.0
14,2021-11-22,0.1199,0.1199,0.1114,0.1126,7446310.0,55702534.0,494693907.0
15,2021-11-21,0.1238,0.1307,0.1191,0.1197,13354931.0,59247698.0,494968237.0
16,2021-11-20,0.1095,0.1312,0.1095,0.1235,18818211.0,61105507.0,494781433.0
17,2021-11-19,0.1006,0.1124,0.09887,0.1095,8219230.0,54197428.0,494953680.0
18,2021-11-18,0.1138,0.1147,0.09874,0.1005,7360182.0,49728195.0,494807910.0
19,2021-11-17,0.1135,0.1178,0.1088,0.1138,8465961.0,56288521.0,494626722.0
20,2021-11-16,0.1252,0.1253,0.1082,0.1137,12140538.0,56211929.0,494388117.0
21,2021-11-15,0.1239,0.1289,0.1226,0.1247,9517706.0,61669827.0,494545525.0
22,2021-11-14,0.1256,0.1278,0.1207,0.124,9309242.0,61327318.0,494575145.0
23,2021-11-13,0.1272,0.1328,0.1244,0.1255,11369104.0,62035984.0,494310629.0
24,2021-11-12,0.1341,0.1387,0.1228,0.1278,15160667.0,63163765.0,494239162.0
25,2021-11-11,0.1197,0.1393,0.1185,0.1343,17789625.0,66396732.0,494391154.0
26,2021-11-10,0.127,0.1308,0.1127,0.1197,11589996.0,59170963.0,494327176.0
27,2021-11-09,0.1302,0.133,0.125,0.127,8065945.0,62776777.0,494305330.0
28,2021-11-08,0.1341,0.1343,0.1267,0.1301,9254751.0,64280157.0,494082682.0
29,2021-11-07,0.1358,0.1418,0.1334,0.134,8569515.0,66187510.0,493936641.0
30,2021-11-06,0.1297,0.1451,0.1297,0.1358,18304578.0,67102843.0,494129918.0
31,2021-11-05,0.1254,0.1345,0.1212,0.1297,10978638.0,64090339.0,494142937.0
32,2021-11-04,0.1332,0.1354,0.123,0.1256,16796471.0,62037816.0,493931656.0
33,2021-11-03,0.1195,0.1566,0.1195,0.1339,60077778.0,66126473.0,493849686.0
34,2021-11-02,0.1105,0.1242,0.1068,0.1196,16965288.0,59030019.0,493562031.0
35,2021-11-01,0.1076,0.1161,0.1051,0.1104,12629057.0,54504416.0,493699420.0
36,2021-10-31,0.1121,0.1201,0.1047,0.1076,16130424.0,53129550.0,493769052.0
37,2021-10-30,0.1066,0.15,0.1066,0.1121,58130515.0,55309347.0,493392925.0
38,2021-10-29,0.09518,0.1159,0.09417,0.1069,15052726.0,52761554.0,493559906.0
39,2021-10-28,0.09256,0.1001,0.09125,0.09533,10143573.0,47033378.0,493374362.0
40,2021-10-27,0.1076,0.1098,0.09256,0.09256,9150037.0,45666700.0,493374027.0
41,2021-10-26,0.1072,0.1132,0.1052,0.1076,12226865.0,53036190.0,492901394.0
42,2021-10-25,0.1048,0.1106,0.1047,0.107,14077092.0,52766734.0,493147046.0
43,2021-10-24,0.1054,0.1228,0.1038,0.1049,51214511.0,51710241.0,492947959.0
44,2021-10-23,0.09339,0.1196,0.09265,0.1051,51107888.0,51752172.0,492408867.0
45,2021-10-22,0.09361,0.09808,0.09233,0.09339,6704104.0,46002827.0,492588360.0
46,2021-10-21,0.09958,0.09996,0.09196,0.09361,6960958.0,46103580.0,492506997.0
47,2021-10-20,0.09063,0.1061,0.09015,0.09958,11879045.0,49037120.0,492439445.0
48,2021-10-19,0.08987,0.09463,0.08921,0.09063,6847142.0,44627821.0,492417753.0
49,2021-10-18,0.09417,0.09843,0.08875,0.09004,9480514.0,44334322.0,492384740.0
50,2021-10-17,0.09049,0.1193,0.08856,0.09423,26855504.0,46361920.0,492008065.0
51,2021-10-16,0.08972,0.0937,0.08934,0.0903,6885254.0,44407800.0,491780730.0
52,2021-10-15,0.08877,0.0938,0.08381,0.08968,12677359.0,44096157.0,491705586.0
53,2021-10-14,0.08305,0.0907,0.08248,0.08877,11104674.0,43646028.0,491675430.0
54,2021-10-13,0.08195,0.0836,0.07978,0.08296,6190039.0,40784834.0,491620467.0
55,2021-10-12,0.08425,0.08425,0.07859,0.08223,5405047.0,40424121.0,491598212.0
56,2021-10-11,0.0871,0.09071,0.08213,0.08411,8737552.0,41348094.0,491595458.0
57,2021-10-10,0.09502,0.1046,0.08625,0.08692,18784535.0,42638991.0,490554429.0
58,2021-10-09,0.08233,0.1064,0.08174,0.09453,36963342.0,46368840.0,490519834.0
59,2021-10-08,0.08168,0.08383,0.08108,0.08214,6394729.0,40289206.0,490494351.0
60,2021-10-07,0.08161,0.08489,0.07936,0.08167,6995696.0,40057684.0,490482233.0
61,2021-10-06,0.08099,0.08529,0.07575,0.08162,8585634.0,40026797.0,490404275.0
62,2021-10-05,0.07976,0.08329,0.07928,0.08095,6683915.0,39696133.0,490378418.0
63,2021-10-04,0.08361,0.08383,0.07884,0.07973,7340949.0,39093130.0,490318951.0
64,2021-10-03,0.08417,0.08703,0.08274,0.08371,6271272.0,41037266.0,490231346.0
65,2021-10-02,0.08389,0.08704,0.08148,0.08432,11217990.0,41332028.0,490180597.0
66,2021-10-01,0.07636,0.08568,0.07566,0.08395,10172811.0,41147065.0,490137760.0
67,2021-09-30,0.07372,0.07791,0.07351,0.07635,6837700.0,37411008.0,489993555.0
68,2021-09-29,0.07448,0.07842,0.07256,0.07392,7245146.0,36217299.0,489952637.0
69,2021-09-28,0.07676,0.08201,0.07418,0.07439,13373485.0,36447418.0,489950504.0
70,2021-09-27,0.07719,0.08532,0.07626,0.07676,10987587.0,37602106.0,489865893.0
71,2021-09-26,0.081,0.08278,0.07398,0.07711,9069721.0,37772953.0,489858033.0
72,2021-09-25,0.07749,0.08815,0.07224,0.08084,18166162.0,39594208.0,489784858.0
73,2021-09-24,0.08088,0.08148,0.06886,0.07749,8527029.0,37954579.0,489799703.0
74,2021-09-23,0.08053,0.08236,0.07515,0.08117,8506478.0,39693924.0,489022101.0
75,2021-09-22,0.07097,0.08107,0.07057,0.08066,5400730.0,39442089.0,488991929.0
76,2021-09-21,0.07736,0.08087,0.06845,0.07084,6685372.0,34636806.0,488944184.0
