,Date,Open,High,Low,Close,Volume,Market Cap,Circulating Supply
0,2021-12-06,0.1593,0.1705,0.1401,0.1576,1289776.0,53344977.0,338483356.0
1,2021-12-05,0.1651,0.1718,0.1549,0.1592,894829.0,53895198.0,338537675.0
2,2021-12-04,0.1916,0.1917,0.1532,0.1652,2747551.0,55907501.0,338423129.0
3,2021-12-03,0.1981,0.219,0.1898,0.1917,1739592.0,64891843.0,338507266.0
4,2021-12-02,0.2112,0.2139,0.1918,0.198,1808207.0,67017167.0,338470540.0
5,2021-12-01,0.2113,0.2162,0.2104,0.2115,855542.0,71608018.0,338572189.0
6,2021-11-30,0.2159,0.2202,0.2071,0.211,2048418.0,71436161.0,338560004.0
7,2021-11-29,0.2079,0.2217,0.2079,0.216,2098043.0,73133994.0,338583305.0
8,2021-11-28,0.2061,0.2137,0.1914,0.2086,1838866.0,70608234.0,338486260.0
9,2021-11-27,0.2095,0.2335,0.2012,0.2062,4468042.0,69797406.0,338493724.0
10,2021-11-26,0.2001,0.2177,0.1902,0.2097,4298835.0,70978982.0,338478693.0
11,2021-11-25,0.2141,0.2246,0.1828,0.2237,3302874.0,75726767.0,338519298.0
12,2021-11-24,0.2277,0.2423,0.1796,0.196,3623534.0,66335261.0,338445209.0
13,2021-11-23,0.2081,0.2301,0.1936,0.2289,3448496.0,77486376.0,338516277.0
14,2021-11-22,0.1985,0.2271,0.1985,0.2081,5962697.0,70452665.0,338551970.0
15,2021-11-21,0.1919,0.2261,0.1756,0.1984,4560117.0,67165087.0,338533704.0
16,2021-11-20,0.1973,0.1976,0.1773,0.1919,2316977.0,64946866.0,338441198.0
17,2021-11-19,0.1975,0.2056,0.1618,0.1972,8044460.0,66764744.0,338563610.0
18,2021-11-18,0.2241,0.2296,0.1942,0.1978,6478519.0,66957372.0,338510475.0
19,2021-11-17,0.2191,0.2265,0.2119,0.224,3092921.0,75832869.0,338539593.0
20,2021-11-16,0.2342,0.2345,0.215,0.22,3341946.0,74476930.0,338531500.0
21,2021-11-15,0.2317,0.2375,0.2316,0.2341,2780340.0,79254521.0,338549854.0
22,2021-11-14,0.2353,0.2375,0.2302,0.2316,2580092.0,78413734.0,338573981.0
23,2021-11-13,0.2384,0.2587,0.2329,0.2353,3600340.0,79661226.0,338551746.0
24,2021-11-12,0.2327,0.2489,0.2305,0.2381,3743740.0,80585550.0,338452540.0
25,2021-11-11,0.2293,0.2366,0.226,0.233,3261942.0,78868259.0,338490381.0
26,2021-11-10,0.2431,0.245,0.227,0.2292,4303806.0,77583771.0,338498128.0
27,2021-11-09,0.2495,0.2513,0.2426,0.2429,4473787.0,82238365.0,338568814.0
28,2021-11-08,0.2544,0.2549,0.2471,0.2499,3554930.0,84609966.0,338575294.0
29,2021-11-07,0.2519,0.2577,0.2515,0.2544,3643354.0,86108126.0,338475338.0
30,2021-11-06,0.2544,0.2611,0.2513,0.2519,3210021.0,85258797.0,338462870.0
31,2021-11-05,0.2535,0.2602,0.2497,0.2543,4915845.0,86074352.0,338475627.0
32,2021-11-04,0.2636,0.2645,0.2505,0.2536,3431602.0,85839674.0,338484518.0
33,2021-11-03,0.2687,0.2837,0.2605,0.2636,5013258.0,89220927.0,338470891.0
34,2021-11-02,0.2581,0.2985,0.2516,0.269,9333720.0,91069351.0,338547773.0
35,2021-11-01,0.2547,0.2678,0.2473,0.2579,3908128.0,87301752.0,338510089.0
36,2021-10-31,0.2653,0.2664,0.2493,0.2547,3775008.0,86231407.0,338560687.0
37,2021-10-30,0.2766,0.277,0.264,0.2657,2738472.0,89950658.0,338542182.0
38,2021-10-29,0.2662,0.2831,0.2646,0.2766,3523543.0,93620447.0,338468716.0
39,2021-10-28,0.2731,0.2753,0.2609,0.2662,4315448.0,90101572.0,338473223.0
40,2021-10-27,0.2709,0.2913,0.2512,0.2734,8386124.0,92562871.0,338562073.0
41,2021-10-26,0.2862,0.3036,0.2666,0.2707,6234666.0,91652086.0,338574384.0
42,2021-10-25,0.2807,0.314,0.2745,0.2863,8510772.0,96929657.0,338559752.0
43,2021-10-24,0.2545,0.293,0.2536,0.2808,12481656.0,95069593.0,338566926.0
44,2021-10-23,0.2436,0.2604,0.2415,0.2544,5013752.0,86107981.0,338474768.0
45,2021-10-22,0.2505,0.2626,0.2418,0.2436,5519809.0,82467594.0,338536921.0
46,2021-10-21,0.2449,0.275,0.2426,0.2516,8790674.0,85187670.0,338583744.0
47,2021-10-20,0.2332,0.266,0.2321,0.2448,8949457.0,82856181.0,338464791.0
