,Date,Open,High,Low,Close,Volume,Market Cap,Circulating Supply
0,2021-12-06,4.28,4.4,3.96,4.37,725417.0,28675001.0,6561785.0
1,2021-12-05,4.24,4.48,3.62,4.28,1242624.0,28039032.0,6551175.0
2,2021-12-04,4.82,4.82,4.1,4.24,1006279.0,27772435.0,6550102.0
3,2021-12-03,5.2,5.28,4.69,4.82,839583.0,31551726.0,6546001.0
4,2021-12-02,4.7,5.32,4.62,5.2,943770.0,34054822.0,6549004.0
5,2021-12-01,4.73,5.0,4.65,4.7,913027.0,30780229.0,6548984.0
6,2021-11-30,5.05,5.18,4.66,4.73,856213.0,30723523.0,6495459.0
7,2021-11-29,4.95,5.06,4.88,5.05,226860.0,32460221.0,6427766.0
8,2021-11-28,4.98,4.99,4.53,4.95,892930.0,29868040.0,6033947.0
9,2021-11-27,4.93,5.02,4.93,4.98,522387.0,30057278.0,6035597.0
10,2021-11-26,5.56,5.58,4.85,4.93,697072.0,29788328.0,6042257.0
11,2021-11-25,5.39,5.59,5.28,5.35,553400.0,32319264.0,6040983.0
12,2021-11-24,5.43,5.44,5.11,5.27,654738.0,31787591.0,6031800.0
13,2021-11-23,5.29,5.5,5.14,5.43,646578.0,32749801.0,6031270.0
14,2021-11-22,5.78,5.78,5.18,5.29,1119207.0,31947039.0,6039137.0
15,2021-11-21,5.96,6.13,5.78,5.78,778237.0,34874672.0,6033680.0
16,2021-11-20,5.76,6.16,5.76,5.96,2105255.0,35973684.0,6035853.0
17,2021-11-19,5.57,5.81,5.37,5.76,1229236.0,31196035.0,5415978.0
18,2021-11-18,6.2,6.36,5.56,5.57,1303170.0,30150853.0,5413079.0
19,2021-11-17,6.13,10.35,5.92,6.2,745616.0,33568101.0,5414209.0
20,2021-11-16,6.5,6.61,6.04,6.13,1404232.0,33183286.0,5413260.0
21,2021-11-15,6.67,6.83,6.49,6.5,840346.0,35217239.0,5418036.0
22,2021-11-14,6.86,7.0,6.54,6.68,759404.0,36173221.0,5415152.0
23,2021-11-13,7.04,7.21,6.79,6.84,811489.0,37047733.0,5416335.0
24,2021-11-12,7.0,7.21,6.94,7.04,905456.0,38135576.0,5416985.0
25,2021-11-11,6.68,7.05,6.68,6.99,846976.0,37860740.0,5416414.0
26,2021-11-10,7.4,7.5,6.57,6.68,1068926.0,36152151.0,5411998.0
27,2021-11-09,7.88,8.0,7.35,7.4,1325048.0,40075146.0,5415560.0
28,2021-11-08,7.39,7.99,7.25,7.87,1259062.0,42631408.0,5416951.0
29,2021-11-07,6.88,7.4,6.79,7.4,1147609.0,40081416.0,5416407.0
30,2021-11-06,6.55,6.98,6.49,6.88,832881.0,37252920.0,5414668.0
31,2021-11-05,6.45,7.0,6.44,6.55,1193594.0,35459753.0,5413702.0
32,2021-11-04,7.12,7.13,6.35,6.46,1910400.0,34988426.0,5416165.0
33,2021-11-03,6.34,7.24,5.79,7.13,2114104.0,38591028.0,5412486.0
34,2021-11-02,7.18,7.42,4.54,6.34,5388024.0,34308828.0,5411487.0
35,2021-11-01,6.49,7.19,6.36,7.17,1094139.0,38834117.0,5416194.0
36,2021-10-31,6.69,6.94,6.31,6.49,999410.0,35157734.0,5417216.0
37,2021-10-30,6.42,6.97,6.25,6.67,845016.0,36098838.0,5412119.0
38,2021-10-29,6.37,6.65,5.9,6.42,1319670.0,34763353.0,5414852.0
39,2021-10-28,6.25,6.5,5.4,6.36,1914284.0,34452239.0,5417018.0
40,2021-10-27,6.76,7.05,6.24,6.24,552328.0,33799728.0,5416623.0
41,2021-10-26,6.96,7.29,6.57,6.77,403845.0,36641873.0,5412388.0
42,2021-10-25,6.73,7.02,6.59,6.95,374460.0,37629255.0,5414281.0
43,2021-10-24,7.23,7.26,6.65,6.74,271135.0,36498520.0,5415210.0
44,2021-10-23,7.26,8.16,6.02,7.23,554821.0,38099334.0,5269617.0
45,2021-10-22,6.97,7.27,6.59,7.26,531502.0,38258366.0,5269747.0
46,2021-10-21,6.98,7.36,6.88,6.97,377703.0,36753645.0,5273119.0
47,2021-10-20,6.97,7.06,6.46,6.99,443879.0,36830313.0,5269000.0
48,2021-10-19,6.83,7.03,6.49,7.0,625324.0,36905795.0,5272256.0
49,2021-10-18,7.2,7.31,6.75,6.83,447900.0,36009850.0,5272306.0
50,2021-10-17,7.64,7.65,6.96,7.2,745725.0,37934143.0,5268630.0
51,2021-10-16,7.72,7.92,7.46,7.64,1503833.0,40267602.0,5270628.0
52,2021-10-15,7.82,7.92,7.23,7.71,1763663.0,40653618.0,5272842.0
53,2021-10-14,6.63,7.83,6.53,7.83,2185424.0,41265496.0,5270178.0
54,2021-10-13,5.45,6.71,5.44,6.63,1329531.0,34925218.0,5267755.0
55,2021-10-12,5.94,5.94,5.39,5.44,955424.0,28698988.0,5275549.0
56,2021-10-11,5.9,6.12,5.73,5.94,869676.0,31325658.0,5273679.0
57,2021-10-10,6.31,6.32,5.9,5.91,787760.0,31148977.0,5270554.0
58,2021-10-09,6.31,6.39,6.1,6.32,1302706.0,33302515.0,5269385.0
59,2021-10-08,6.7,6.86,6.27,6.31,1040730.0,33259695.0,5270950.0
60,2021-10-07,6.9,6.91,6.5,6.7,913952.0,35319276.0,5271533.0
61,2021-10-06,7.06,7.26,6.72,6.89,1014179.0,36324894.0,5272118.0
62,2021-10-05,6.87,7.09,6.77,7.07,784327.0,37243396.0,5267807.0
63,2021-10-04,7.33,7.33,6.81,6.87,742641.0,34028468.0,4953197.0
64,2021-10-03,7.48,7.63,7.31,7.33,241980.0,36320492.0,4955046.0
65,2021-10-02,7.39,7.63,7.27,7.49,258740.0,37143876.0,4959128.0
66,2021-10-01,6.75,7.49,6.7,7.39,730655.0,36638091.0,4957793.0
67,2021-09-30,6.57,6.86,6.57,6.75,947827.0,33437860.0,4953757.0
68,2021-09-29,6.71,7.08,6.52,6.58,655715.0,32610862.0,4956058.0
69,2021-09-28,7.32,7.92,6.69,6.71,1360566.0,33276781.0,4959281.0
70,2021-09-27,7.76,8.22,7.32,7.32,854372.0,36274012.0,4955466.0
71,2021-09-26,7.9,8.05,7.04,7.76,1265980.0,38458517.0,4955994.0
72,2021-09-25,7.91,8.02,7.32,7.9,1574609.0,39179632.0,4959447.0
73,2021-09-24,8.28,8.32,7.04,7.9,1838992.0,39166737.0,4957814.0
74,2021-09-23,8.01,8.77,7.97,8.28,1649768.0,41048241.0,4957517.0
75,2021-09-22,7.46,8.01,7.38,8.01,1567502.0,39695291.0,4955716.0
76,2021-09-21,8.53,8.75,7.43,7.46,1557694.0,36992627.0,4958797.0
77,2021-09-20,10.56,10.59,8.51,8.53,1372658.0,42300475.0,4959024.0
78,2021-09-19,11.32,11.32,10.36,10.56,1260571.0,52321295.0,4954668.0
79,2021-09-18,11.36,11.82,10.97,11.31,1073268.0,56079108.0,4958364.0
80,2021-09-17,12.08,12.71,11.21,11.35,2219783.0,56283334.0,4958884.0
81,2021-09-16,11.6,12.71,11.6,12.08,1266575.0,59880860.0,4957024.0
82,2021-09-15,10.11,11.67,10.05,11.6,2542241.0,57505253.0,4957349.0
83,2021-09-14,9.59,10.11,9.46,10.11,1368553.0,50106071.0,4956090.0
84,2021-09-13,9.88,9.95,9.4,9.59,619302.0,47528002.0,4955996.0
85,2021-09-12,9.63,10.4,9.57,9.89,501584.0,49020130.0,4956534.0
86,2021-09-11,9.57,10.02,9.57,9.64,569978.0,47760528.0,4954411.0
87,2021-09-10,10.63,10.87,9.48,9.57,774932.0,47417176.0,4954772.0
88,2021-09-09,11.17,11.66,10.63,10.63,686747.0,52711720.0,4958769.0
89,2021-09-08,12.43,12.96,11.12,11.26,2029556.0,55820700.0,4957433.0
90,2021-09-07,15.32,15.62,12.11,12.42,2892014.0,61560419.0,4956555.0
91,2021-09-06,14.02,15.45,13.78,15.32,1667964.0,75938249.0,4956804.0
92,2021-09-05,13.6,14.33,13.37,14.02,1593821.0,69479719.0,4955757.0
93,2021-09-04,13.72,13.84,13.37,13.59,817971.0,67386324.0,4958522.0
94,2021-09-03,14.1,15.06,13.49,13.72,2197374.0,68003351.0,4956512.0
95,2021-09-02,12.52,14.22,12.13,14.1,4296999.0,69892851.0,4956939.0
96,2021-09-01,11.38,12.52,11.24,12.52,1495645.0,62049812.0,4956055.0
97,2021-08-31,10.65,11.67,10.59,11.38,1125330.0,56404369.0,4956447.0
98,2021-08-30,11.46,11.52,10.62,10.65,1845949.0,52727636.0,4950951.0
99,2021-08-29,10.28,11.73,10.23,11.47,2518615.0,56529998.0,4928508.0
100,2021-08-28,8.95,10.27,8.67,10.27,2743711.0,50624191.0,4929327.0
101,2021-08-27,8.25,9.44,7.99,8.94,1625732.0,44070803.0,4929620.0
102,2021-08-26,8.72,8.84,7.91,8.25,1380830.0,40576738.0,4918392.0
103,2021-08-25,7.94,8.72,7.84,8.71,1914791.0,42826114.0,4916890.0
104,2021-08-24,8.2,8.27,7.78,7.95,1574690.0,38896408.0,4892629.0
105,2021-08-23,7.61,8.36,7.58,8.19,1878251.0,40015956.0,4885953.0
106,2021-08-22,7.03,7.97,7.03,7.61,1660744.0,37150022.0,4881737.0
107,2021-08-21,7.23,7.43,6.96,7.03,1870628.0,34250401.0,4872034.0
108,2021-08-20,7.67,7.8,7.21,7.22,1060682.0,34890770.0,4832516.0
109,2021-08-19,7.39,7.67,7.17,7.67,1364392.0,36979805.0,4821356.0
110,2021-08-18,7.44,7.59,7.3,7.39,975596.0,35480366.0,4801132.0
111,2021-08-17,7.75,7.84,7.39,7.45,724539.0,35722654.0,4794987.0
112,2021-08-16,8.3,8.33,7.69,7.76,659399.0,36941068.0,4760446.0
113,2021-08-15,8.56,8.6,7.9,8.29,830121.0,39175401.0,4725621.0
114,2021-08-14,8.79,8.98,8.21,8.56,1361355.0,40359737.0,4714922.0
115,2021-08-13,7.93,9.03,7.92,8.8,1255777.0,41436281.0,4708668.0
116,2021-08-12,8.52,8.81,7.79,7.94,519531.0,37359225.0,4705192.0
117,2021-08-11,8.6,8.98,8.46,8.53,2205531.0,40022408.0,4691958.0
118,2021-08-10,9.34,9.68,8.44,8.6,1944969.0,40240592.0,4679138.0
119,2021-08-09,9.2,10.02,8.53,9.33,2303152.0,43613427.0,4674536.0
120,2021-08-08,9.39,9.99,8.73,9.19,3110186.0,42835763.0,4661127.0
121,2021-08-07,8.43,9.65,8.02,9.41,2791263.0,43776517.0,4652127.0
122,2021-08-06,8.35,8.8,7.54,8.44,2467262.0,39264256.0,4652163.0
123,2021-08-05,7.89,8.65,7.2,8.35,2090332.0,38728413.0,4638133.0
124,2021-08-04,7.1,8.11,6.89,7.9,2128390.0,36635636.0,4637422.0
