,Date,Open,High,Low,Close,Volume,Market Cap,Circulating Supply
0,2021-12-03,0.6289,0.6321,0.5601,0.5684,93495135.0,1055070723.0,1856211687.0
1,2021-12-02,0.6601,0.6601,0.6042,0.6285,108654519.0,1166230407.0,1855577417.0
2,2021-12-01,0.6799,0.6965,0.6469,0.6585,112051860.0,1221238062.0,1854575644.0
3,2021-11-30,0.7397,0.7455,0.6791,0.6814,143577942.0,1262392605.0,1852645443.0
4,2021-11-29,0.7836,0.7878,0.7191,0.7418,199144075.0,1373757080.0,1851923806.0
5,2021-11-28,0.7052,0.7901,0.6251,0.7843,218825221.0,1452079177.0,1851433350.0
6,2021-11-27,0.7081,0.7408,0.6549,0.7065,188799936.0,1307785019.0,1851075752.0
7,2021-11-26,0.8379,0.8583,0.6936,0.7053,268091054.0,1305007729.0,1850287436.0
8,2021-11-25,0.8912,0.9569,0.77,0.924,504594972.0,1708832736.0,1849386077.0
9,2021-11-24,0.7909,0.9105,0.7675,0.7735,252781107.0,1429198659.0,1847703502.0
10,2021-11-23,0.8001,0.8023,0.7482,0.7928,246400709.0,1464850964.0,1847692941.0
11,2021-11-22,0.7984,0.9002,0.7543,0.8008,384385143.0,1479845718.0,1847959188.0
12,2021-11-21,0.9009,0.9012,0.7965,0.7984,313955913.0,1475087082.0,1847553960.0
13,2021-11-20,0.9206,0.9309,0.881,0.9025,246552902.0,1666816133.0,1846887681.0
14,2021-11-19,0.862,0.9491,0.862,0.9172,319092851.0,1693292397.0,1846153943.0
15,2021-11-18,0.9323,0.9766,0.8388,0.8596,567356074.0,1586502451.0,1845628723.0
16,2021-11-17,0.8139,0.9814,0.7826,0.936,855758576.0,1725154576.0,1843113863.0
17,2021-11-16,0.7368,0.8431,0.7055,0.8146,896056109.0,1498235724.0,1839228730.0
18,2021-11-15,0.7983,0.8969,0.7036,0.7298,1439637746.0,1341877153.0,1838691631.0
19,2021-11-14,0.5603,0.7959,0.5593,0.7834,788512387.0,1438873879.0,1836703955.0
20,2021-11-13,0.5733,0.6055,0.559,0.5601,184061024.0,1016126849.0,1814188268.0
21,2021-11-12,0.5458,0.5822,0.5295,0.5734,218934425.0,1039864653.0,1813506545.0
22,2021-11-11,0.4959,0.5642,0.4867,0.5436,212665518.0,985184612.0,1812333723.0
23,2021-11-10,0.5016,0.5402,0.4814,0.4957,190618694.0,898175338.0,1811933302.0
24,2021-11-09,0.4948,0.5205,0.4768,0.5012,121319387.0,907753637.0,1811160488.0
25,2021-11-08,0.5109,0.5133,0.4719,0.4945,142111833.0,897543843.0,1815053271.0
26,2021-11-07,0.5252,0.5456,0.503,0.5091,165190363.0,923625379.0,1814231740.0
27,2021-11-06,0.5347,0.5544,0.5017,0.5243,201307616.0,950761933.0,1813392967.0
28,2021-11-05,0.4759,0.6004,0.4759,0.5352,730358590.0,970223579.0,1812824325.0
29,2021-11-04,0.4619,0.495,0.4403,0.478,158246638.0,866184398.0,1812101251.0
30,2021-11-03,0.4739,0.4882,0.444,0.4604,132368462.0,833758146.0,1810942975.0
31,2021-11-02,0.4178,0.496,0.3967,0.4793,291498396.0,867809642.0,1810577179.0
32,2021-11-01,0.3927,0.4506,0.381,0.4184,443330796.0,757161486.0,1809659383.0
33,2021-10-31,0.4197,0.6043,0.3735,0.3934,1047614768.0,711773161.0,1809286123.0
34,2021-10-30,0.3648,0.4457,0.3438,0.419,338598869.0,749240176.0,1788162711.0
35,2021-10-29,0.3419,0.3869,0.3414,0.3636,189417996.0,649926464.0,1787476523.0
36,2021-10-28,0.3113,0.3488,0.3113,0.3403,113374662.0,607945454.0,1786498542.0
37,2021-10-27,0.3205,0.3374,0.283,0.3128,129201709.0,558470509.0,1785391652.0
38,2021-10-26,0.3106,0.3286,0.3071,0.3204,59711278.0,571880947.0,1784896838.0
39,2021-10-25,0.3131,0.3147,0.3005,0.3108,50300893.0,554351357.0,1783627274.0
40,2021-10-24,0.3087,0.3328,0.3045,0.3122,102782615.0,556740164.0,1783280474.0
41,2021-10-23,0.3063,0.3102,0.2974,0.3087,46912852.0,550331475.0,1782738824.0
42,2021-10-22,0.2879,0.3088,0.2868,0.3064,67039876.0,545910330.0,1781691677.0
43,2021-10-21,0.2987,0.3017,0.2857,0.2883,39208800.0,513495110.0,1781113805.0
44,2021-10-20,0.2951,0.3089,0.2798,0.2984,69485707.0,531405778.0,1780850462.0
45,2021-10-19,0.2934,0.2966,0.2834,0.2956,36598101.0,525738224.0,1778546089.0
46,2021-10-18,0.2759,0.2956,0.27,0.2932,75603011.0,521419699.0,1778375508.0
47,2021-10-17,0.282,0.282,0.271,0.2756,22118422.0,489920073.0,1777649031.0
48,2021-10-16,0.2714,0.2826,0.2691,0.2817,23163859.0,500625208.0,1777157287.0
49,2021-10-15,0.2904,0.2905,0.2672,0.2711,36562240.0,481571664.0,1776361726.0
50,2021-10-14,0.2904,0.2941,0.2855,0.2908,28017609.0,516375445.0,1775706482.0
