,Date,Open,High,Low,Close,Volume,Market Cap,Circulating Supply
0,2021-12-06,2.39,2.43,2.29,2.41,371922.0,26349631.0,10933456.0
1,2021-12-05,2.39,2.46,2.31,2.39,750415.0,26084136.0,10913864.0
2,2021-12-04,2.41,2.44,1.95,2.39,531353.0,26103965.0,10922161.0
3,2021-12-03,2.49,2.83,2.36,2.42,650727.0,26398713.0,10908559.0
4,2021-12-02,2.59,2.61,2.47,2.49,504617.0,27181226.0,10916155.0
5,2021-12-01,2.92,2.96,2.53,2.59,663652.0,28271425.0,10915608.0
6,2021-11-30,2.6,2.95,2.49,2.93,791613.0,31977079.0,10913678.0
7,2021-11-29,2.84,2.87,2.57,2.6,772987.0,28360347.0,10907825.0
8,2021-11-28,2.61,2.85,2.56,2.84,600358.0,30996693.0,10914328.0
9,2021-11-27,2.68,2.76,2.34,2.61,598440.0,28456792.0,10902985.0
10,2021-11-26,2.97,2.99,2.69,2.69,604131.0,29328403.0,10902752.0
11,2021-11-25,2.91,3.02,2.87,2.91,517939.0,31756263.0,10912805.0
12,2021-11-24,2.92,2.92,2.83,2.85,481961.0,31080637.0,10905486.0
13,2021-11-23,2.84,2.93,2.8,2.92,530015.0,31847527.0,10906687.0
14,2021-11-22,2.95,2.98,2.8,2.84,993188.0,30990739.0,10912232.0
15,2021-11-21,3.02,3.05,2.95,2.95,656779.0,32146983.0,10897282.0
16,2021-11-20,2.94,3.03,2.89,3.02,517974.0,32918054.0,10900017.0
17,2021-11-19,2.89,2.96,2.82,2.94,151068.0,32089854.0,10914916.0
18,2021-11-18,3.06,3.1,2.87,2.89,297748.0,31553111.0,10918031.0
19,2021-11-17,3.03,3.1,2.97,3.06,333791.0,33400229.0,10915107.0
20,2021-11-16,3.22,3.23,2.97,3.03,406013.0,33069382.0,10913987.0
21,2021-11-15,3.34,3.38,3.2,3.23,326570.0,35168189.0,10887984.0
22,2021-11-14,3.3,3.35,3.24,3.34,234705.0,36409667.0,10901097.0
23,2021-11-13,3.29,3.33,3.23,3.3,203179.0,35947119.0,10893066.0
24,2021-11-12,3.39,3.41,3.21,3.29,338609.0,35862844.0,10900560.0
25,2021-11-11,3.39,3.56,3.27,3.38,372316.0,36889455.0,10914039.0
26,2021-11-10,3.39,3.8,3.31,3.39,582158.0,36909211.0,10887672.0
27,2021-11-09,3.39,3.56,3.37,3.4,204924.0,36998479.0,10881905.0
28,2021-11-08,3.27,3.92,3.27,3.39,166722.0,36891032.0,10882310.0
29,2021-11-07,3.21,3.29,3.12,3.26,221088.0,35556589.0,10906929.0
30,2021-11-06,3.15,3.41,3.06,3.21,215376.0,34972836.0,10894964.0
31,2021-11-05,3.19,3.28,3.05,3.15,178159.0,34332070.0,10899069.0
32,2021-11-04,3.4,3.53,3.05,3.19,223797.0,34720017.0,10884017.0
33,2021-11-03,3.34,4.02,3.17,3.4,258177.0,36967315.0,10872739.0
34,2021-11-02,3.02,3.34,3.0,3.34,200878.0,36375822.0,10890964.0
35,2021-11-01,3.0,3.09,2.9,3.02,206327.0,32906362.0,10896146.0
36,2021-10-31,3.15,3.18,2.82,3.0,199108.0,32635844.0,10878614.0
37,2021-10-30,3.12,3.18,3.04,3.14,228337.0,34172924.0,10883096.0
38,2021-10-29,3.07,3.18,3.02,3.12,346681.0,33982761.0,10891910.0
39,2021-10-28,3.06,3.16,2.94,3.07,338593.0,33360794.0,10866708.0
40,2021-10-27,3.16,3.47,2.98,3.06,371674.0,33317831.0,10888180.0
41,2021-10-26,3.22,3.41,2.95,3.15,349994.0,34312342.0,10892806.0
42,2021-10-25,3.14,3.53,3.12,3.22,398850.0,34985387.0,10865027.0
43,2021-10-24,3.4,3.46,3.08,3.14,397971.0,34112782.0,10863943.0
44,2021-10-23,3.17,3.75,3.09,3.4,207621.0,36969765.0,10873460.0
45,2021-10-22,3.93,4.0,3.09,3.17,235215.0,34434444.0,10862600.0
46,2021-10-21,4.18,4.26,3.26,3.93,245289.0,42714801.0,10868906.0
47,2021-10-20,3.48,4.62,3.13,4.18,242444.0,45463734.0,10876491.0
48,2021-10-19,3.58,4.32,2.91,3.48,221835.0,37850132.0,10876474.0
49,2021-10-18,2.99,4.35,2.99,3.58,278374.0,38900731.0,10866125.0
50,2021-10-17,2.8,4.02,2.53,2.99,328889.0,32504209.0,10870972.0
51,2021-10-16,2.92,3.05,2.76,2.8,217537.0,30396233.0,10855797.0
52,2021-10-15,2.6,3.0,2.59,2.92,186339.0,31726182.0,10865130.0
53,2021-10-14,2.58,3.34,2.58,2.6,182350.0,28242417.0,10862468.0
54,2021-10-13,2.69,2.96,2.38,2.58,215950.0,28064164.0,10877582.0
55,2021-10-12,2.75,3.07,2.61,2.69,190431.0,29242524.0,10870826.0
56,2021-10-11,2.66,3.39,2.65,2.75,239879.0,29859729.0,10858083.0
57,2021-10-10,2.61,2.75,2.54,2.66,171966.0,28870905.0,10853723.0
58,2021-10-09,2.57,2.63,2.53,2.61,185735.0,28332182.0,10855242.0
59,2021-10-08,2.55,2.8,2.49,2.57,154722.0,27909251.0,10859630.0
60,2021-10-07,2.77,2.77,2.48,2.55,261959.0,27687846.0,10857978.0
61,2021-10-06,2.54,2.77,2.45,2.77,298020.0,30011536.0,10834489.0
62,2021-10-05,2.33,2.59,2.29,2.54,284279.0,27528929.0,10838161.0
63,2021-10-04,2.14,2.38,2.12,2.33,251879.0,25223945.0,10825727.0
64,2021-10-03,2.08,2.26,1.97,2.14,199165.0,23215983.0,10848590.0
65,2021-10-02,2.12,2.12,2.0,2.08,131927.0,22515669.0,10824840.0
66,2021-10-01,2.17,2.17,1.93,2.12,191144.0,22974643.0,10837095.0
67,2021-09-30,2.26,2.38,2.14,2.17,324543.0,23492872.0,10826208.0
68,2021-09-29,2.13,2.51,2.11,2.25,175210.0,24424573.0,10855365.0
69,2021-09-28,2.31,2.31,2.12,2.12,80676.0,22995504.0,10846935.0
70,2021-09-27,2.31,2.61,2.28,2.31,256066.0,25018554.0,10830542.0
71,2021-09-26,2.35,2.39,2.24,2.31,261953.0,24993673.0,10819771.0
72,2021-09-25,2.49,2.53,2.3,2.35,259677.0,25498387.0,10850377.0
73,2021-09-24,2.65,2.66,2.37,2.49,271754.0,26990384.0,10839511.0
74,2021-09-23,2.62,2.73,2.53,2.65,170320.0,28736240.0,10843864.0
75,2021-09-22,2.51,2.7,2.5,2.62,164220.0,28321489.0,10809728.0
76,2021-09-21,2.85,2.87,2.43,2.5,162009.0,27042446.0,10816978.0
77,2021-09-20,3.02,3.19,2.64,2.86,205501.0,30919464.0,10811001.0
78,2021-09-19,2.95,3.2,2.83,3.02,226891.0,32709485.0,10830955.0
79,2021-09-18,3.18,3.21,2.89,2.95,234020.0,31893050.0,10811203.0
80,2021-09-17,2.98,4.29,2.91,3.18,455991.0,34365349.0,10806713.0
81,2021-09-16,3.0,3.1,2.86,2.98,345288.0,32246793.0,10821071.0
82,2021-09-15,2.94,3.04,2.83,3.0,414304.0,32478532.0,10826177.0
83,2021-09-14,3.02,3.23,2.73,2.94,202640.0,31810966.0,10820056.0
84,2021-09-13,2.78,3.29,2.57,3.02,278521.0,32657995.0,10813905.0
85,2021-09-12,3.01,3.23,2.56,2.78,325360.0,30041181.0,10806180.0
86,2021-09-11,3.27,3.87,2.74,3.01,405412.0,32533203.0,10808373.0
87,2021-09-10,2.3,3.33,2.05,3.27,312265.0,35311021.0,10798477.0
88,2021-09-09,1.93,2.47,1.87,2.3,158000.0,24863488.0,10810212.0
89,2021-09-08,2.45,2.47,1.94,2.08,178682.0,22474724.0,10805155.0
