,Date,Open,High,Low,Close,Volume,Market Cap,Circulating Supply
0,2021-12-06,24.91,30.4,19.08,19.48,1196181.0,123295047.0,6329314.0
1,2021-12-05,27.07,31.58,24.28,24.87,1192055.0,157415187.0,6329520.0
2,2021-12-04,32.74,33.23,22.69,27.05,1046842.0,171251201.0,6330913.0
3,2021-12-03,31.6,37.26,29.73,32.74,960305.0,207287277.0,6331315.0
4,2021-12-02,32.45,34.78,30.64,31.61,1438533.0,200116108.0,6330784.0
5,2021-12-01,31.92,34.7,29.93,32.45,1895630.0,205455976.0,6331463.0
6,2021-11-30,30.09,34.12,28.93,31.97,1171861.0,202371043.0,6330029.0
7,2021-11-29,31.32,34.11,29.44,30.09,1048059.0,190480774.0,6330368.0
8,2021-11-28,34.71,35.18,30.01,31.32,1218088.0,198277372.0,6330695.0
9,2021-11-27,42.51,42.51,30.31,34.7,1099707.0,219648607.0,6329931.0
10,2021-11-26,47.68,48.13,40.09,42.53,115323.0,269270026.0,6331296.0
11,2021-11-25,37.22,55.58,37.18,44.06,127646.0,278901242.0,6330032.0
12,2021-11-24,47.87,60.86,37.08,44.61,111322.0,282429246.0,6331074.0
13,2021-11-23,37.15,52.14,36.28,47.9,128838.0,303219911.0,6330269.0
14,2021-11-22,48.54,53.51,31.94,37.18,135387.0,235403512.0,6331455.0
15,2021-11-21,41.04,14535421.57,21.07,48.56,1431201.0,307342725.0,6329133.0
16,2021-11-20,44.95,294465.58,3.0,41.07,2605545.0,259725068.0,6323960.0
17,2021-11-19,45.42,55.31,42.06,44.94,2633117.0,283999036.0,6319515.0
18,2021-11-18,49.05,53.87,38.67,45.32,2880521.0,286209047.0,6315292.0
19,2021-11-17,49.69,53.06,44.41,49.06,3481179.0,309680482.0,6312280.0
20,2021-11-16,62.8,62.94,44.86,49.69,4765476.0,313402024.0,6307144.0
21,2021-11-15,57.65,75.03,57.65,62.89,4741181.0,396379960.0,6302750.0
22,2021-11-14,52.86,64.98,52.86,57.66,2588008.0,363168934.0,6298455.0
23,2021-11-13,51.81,55.73,49.88,52.86,1277632.0,332758320.0,6295087.0
24,2021-11-12,48.86,51.9,47.61,51.83,1634425.0,326029994.0,6290372.0
25,2021-11-11,51.38,56.87,44.77,48.83,2003758.0,306957426.0,6286246.0
26,2021-11-10,61.24,61.93,47.15,51.33,2154685.0,322436244.0,6281633.0
27,2021-11-09,61.36,65.3,54.79,61.34,2272066.0,385068868.0,6277614.0
28,2021-11-08,60.18,67.44,55.04,61.36,3059337.0,384927638.0,6273266.0
29,2021-11-07,53.67,64.73,53.65,60.14,2879280.0,377060037.0,6269704.0
30,2021-11-06,52.29,58.23,49.78,53.67,2177835.0,336256165.0,6265253.0
31,2021-11-05,56.89,68.82,51.8,52.26,2610323.0,327161801.0,6260271.0
32,2021-11-04,56.11,57.04,47.22,56.91,2138855.0,356073649.0,6256785.0
33,2021-11-03,60.61,60.99,48.1,56.06,2664131.0,350511100.0,6252427.0
34,2021-11-02,69.85,70.21,52.44,60.53,5186288.0,378192120.0,6248011.0
35,2021-11-01,56.68,74.93,48.04,69.84,6571225.0,436057421.0,6243662.0
36,2021-10-31,32.78,68.1,30.93,56.66,3677235.0,353547659.0,6239810.0
37,2021-10-30,28.71,34.01,27.56,32.76,1162381.0,204251779.0,6234791.0
38,2021-10-29,28.49,30.5,26.2,28.7,1229829.0,178857542.0,6231970.0
39,2021-10-28,25.47,29.04,23.51,28.5,1169103.0,177455977.0,6226525.0
40,2021-10-27,26.53,26.61,21.26,25.48,1642479.0,158522971.0,6221466.0
41,2021-10-26,20.66,33.35,20.58,26.54,2223167.0,165045172.0,6218732.0
42,2021-10-25,18.84,23.19,18.66,20.66,897525.0,128402958.0,6215051.0
43,2021-10-24,18.58,18.89,17.54,18.84,239735.0,116981788.0,6209224.0
44,2021-10-23,18.15,19.01,17.57,18.58,458466.0,115310004.0,6206135.0
45,2021-10-22,17.32,19.79,16.56,18.16,672739.0,112590771.0,6199932.0
46,2021-10-21,18.64,20.06,17.08,17.34,551632.0,107456851.0,6197050.0
47,2021-10-20,16.27,19.25,16.17,18.63,453957.0,115387395.0,6193633.0
48,2021-10-19,16.97,17.31,15.33,16.27,410256.0,100675198.0,6187781.0
49,2021-10-18,17.12,18.24,16.84,16.96,288918.0,104900618.0,6185177.0
50,2021-10-17,16.4,17.73,16.05,17.12,250349.0,105816746.0,6180884.0
51,2021-10-16,17.57,17.69,15.52,16.41,413105.0,101375053.0,6177638.0
52,2021-10-15,18.15,19.14,14.08,17.57,430518.0,108462249.0,6173150.0
53,2021-10-14,18.96,20.52,17.05,18.15,324620.0,111970476.0,6169172.0
54,2021-10-13,19.41,19.9,17.78,18.95,585105.0,116803480.0,6163772.0
55,2021-10-12,19.21,21.1,14.83,19.39,685683.0,119426389.0,6159174.0
56,2021-10-11,21.49,23.04,18.35,19.22,565962.0,118317446.0,6155954.0
57,2021-10-10,23.98,26.17,21.45,21.52,948593.0,132365877.0,6150830.0
58,2021-10-09,21.75,25.84,17.92,23.97,1700524.0,147342819.0,6146967.0
59,2021-10-08,12.41,29.77,12.2,21.75,1358186.0,133575460.0,6141400.0
60,2021-10-07,12.69,16.35,11.95,12.4,414684.0,76138274.0,6140183.0
61,2021-10-06,10.49,13.8,10.24,12.69,205824.0,77838021.0,6133807.0
62,2021-10-05,10.1,10.76,9.65,10.49,126366.0,64299502.0,6129599.0
63,2021-10-04,10.53,10.75,9.75,10.1,109484.0,61855770.0,6124333.0
64,2021-10-03,10.62,11.0,10.2,10.53,95845.0,64453014.0,6120894.0
65,2021-10-02,9.75,10.79,9.55,10.62,101716.0,64960212.0,6116780.0
66,2021-10-01,8.67,9.88,8.59,9.75,152705.0,59615116.0,6114370.0
67,2021-09-30,7.99,8.96,7.77,8.67,180901.0,52930873.0,6105060.0
68,2021-09-29,8.03,8.56,7.75,7.99,164294.0,48777548.0,6104824.0
69,2021-09-28,8.34,8.64,8.0,8.03,196639.0,49002850.0,6102471.0
70,2021-09-27,8.34,8.99,8.31,8.34,73070.0,50811462.0,6092501.0
71,2021-09-26,8.46,8.77,7.94,8.35,63085.0,50843404.0,6089030.0
72,2021-09-25,9.0,9.27,8.15,8.46,113602.0,51511320.0,6088808.0
73,2021-09-24,9.29,9.58,7.96,9.0,111693.0,54733365.0,6081485.0
74,2021-09-23,9.28,9.58,8.59,9.29,65563.0,56445526.0,6075944.0
75,2021-09-22,8.71,9.29,8.03,9.28,120223.0,56388267.0,6076321.0
76,2021-09-21,8.87,9.49,8.29,8.68,81050.0,52707794.0,6072326.0
77,2021-09-20,9.76,10.47,8.27,8.88,88210.0,53851879.0,6064400.0
78,2021-09-19,10.46,11.09,9.27,9.76,139830.0,59159063.0,6061379.0
79,2021-09-18,10.11,11.03,9.58,10.45,137498.0,63314130.0,6058768.0
80,2021-09-17,9.77,10.33,9.08,10.1,81620.0,61142516.0,6053714.0
81,2021-09-16,10.1,10.66,9.17,9.77,90104.0,59077018.0,6046777.0
82,2021-09-15,9.41,10.7,9.39,10.1,86935.0,61043621.0,6043922.0
83,2021-09-14,9.2,10.68,8.76,9.41,85463.0,56836710.0,6040032.0
84,2021-09-13,10.05,10.13,8.84,9.2,81532.0,55515424.0,6034285.0
85,2021-09-12,9.53,10.11,8.92,10.06,91453.0,60657479.0,6029570.0
86,2021-09-11,8.59,10.44,7.8,9.52,145604.0,57396135.0,6029005.0
87,2021-09-10,8.01,8.69,7.39,8.59,75095.0,51754254.0,6024942.0
88,2021-09-09,7.51,8.34,7.49,8.0,82917.0,48182069.0,6022758.0
89,2021-09-08,8.67,8.86,7.48,8.27,95820.0,49772039.0,6018384.0
90,2021-09-07,9.99,10.39,8.17,8.67,99626.0,52109434.0,6010315.0
91,2021-09-06,9.93,10.22,9.32,10.0,113377.0,60039047.0,6003904.0
92,2021-09-05,8.69,9.94,8.43,9.93,110058.0,59583832.0,6000385.0
93,2021-09-04,9.45,9.48,8.56,8.69,106846.0,52102259.0,5995656.0
94,2021-09-03,9.04,9.9,8.06,9.46,103823.0,56678039.0,5991336.0
95,2021-09-02,9.92,10.57,8.71,9.05,106387.0,54195750.0,5988480.0
96,2021-09-01,9.81,10.68,8.92,9.91,94900.0,59297856.0,5983638.0
97,2021-08-31,8.82,10.5,8.3,9.81,113257.0,58673480.0,5980986.0
98,2021-08-30,10.38,11.23,8.09,8.81,144143.0,52642061.0,5975262.0
99,2021-08-29,11.73,11.9,9.72,10.38,98790.0,62011355.0,5974118.0
100,2021-08-28,10.72,11.73,9.75,11.73,123149.0,69990383.0,5966784.0
101,2021-08-27,9.11,11.12,8.96,10.72,764661.0,63908340.0,5961598.0
102,2021-08-26,10.06,10.7,9.01,9.11,670648.0,54318266.0,5962488.0
103,2021-08-25,9.11,10.59,9.09,10.07,649144.0,59995732.0,5957868.0
104,2021-08-24,10.94,11.27,8.76,9.13,697056.0,54346029.0,5952467.0
105,2021-08-23,10.28,11.48,10.16,10.94,749840.0,65068003.0,5947715.0
106,2021-08-22,10.45,10.67,8.95,10.28,683398.0,61118860.0,5945414.0
107,2021-08-21,10.93,11.75,10.12,10.47,446973.0,62152017.0,5936200.0
108,2021-08-20,10.16,11.82,10.12,10.93,754173.0,64868108.0,5934868.0
109,2021-08-19,10.99,11.37,9.95,10.15,314224.0,60209468.0,5931967.0
110,2021-08-18,12.46,12.87,9.77,10.99,360505.0,65145988.0,5927751.0
111,2021-08-17,9.98,12.75,9.77,12.46,543960.0,73802243.0,5923133.0
112,2021-08-16,10.24,10.65,9.91,9.99,341648.0,59131307.0,5919049.0
113,2021-08-15,10.06,10.53,9.61,10.25,730412.0,60629363.0,5915059.0
114,2021-08-14,13.08,13.08,8.87,10.05,627984.0,59384712.0,5908926.0
115,2021-08-13,9.85,13.52,8.79,13.09,976481.0,77287369.0,5904306.0
116,2021-08-12,8.45,12.35,7.99,9.86,335760.0,58152840.0,5897853.0
117,2021-08-11,7.61,8.79,7.52,8.46,532373.0,49896874.0,5897975.0
118,2021-08-10,8.72,8.77,7.47,7.6,618456.0,44804311.0,5895304.0
119,2021-08-09,8.35,8.78,7.44,8.73,753867.0,51412583.0,5889184.0
120,2021-08-08,8.09,9.02,6.89,8.34,1218661.0,49081533.0,5885075.0
121,2021-08-07,6.67,9.0,6.53,8.11,1253754.0,47665122.0,5877327.0
122,2021-08-06,5.93,6.68,5.76,6.68,1040849.0,39258380.0,5877002.0
123,2021-08-05,6.74,6.79,5.78,5.93,563854.0,34810545.0,5870243.0
124,2021-08-04,7.01,7.22,6.5,6.75,821162.0,39590172.0,5865210.0
125,2021-08-03,6.84,7.19,6.49,7.01,873818.0,41083002.0,5860627.0
126,2021-08-02,7.03,7.47,6.7,6.84,957603.0,40052096.0,5855569.0
127,2021-08-01,7.29,8.48,6.87,7.05,931799.0,41249915.0,5851051.0
128,2021-07-31,8.03,8.48,7.18,7.31,789973.0,42742158.0,5847080.0
129,2021-07-30,7.49,8.02,7.08,8.01,1271787.0,46839118.0,5847580.0
130,2021-07-29,9.02,9.26,6.81,7.48,1121760.0,43708667.0,5843404.0
131,2021-07-28,8.33,9.16,8.1,9.02,687249.0,52669098.0,5839146.0
132,2021-07-27,8.39,8.78,7.9,8.33,293930.0,48583810.0,5832390.0
133,2021-07-26,7.88,8.78,7.72,8.4,224761.0,48949705.0,5827345.0
134,2021-07-25,7.48,7.88,7.28,7.88,225104.0,45891058.0,5823738.0
135,2021-07-24,7.46,7.93,7.15,7.48,258232.0,43524695.0,5818809.0
136,2021-07-23,7.3,7.51,6.8,7.45,221091.0,43351440.0,5818985.0
137,2021-07-22,7.51,7.57,7.23,7.3,225596.0,42419493.0,5810889.0
138,2021-07-21,6.88,7.67,6.68,7.51,274656.0,43617773.0,5807959.0
139,2021-07-20,6.95,7.98,6.61,6.89,223209.0,39956011.0,5799130.0
140,2021-07-19,7.74,7.82,6.24,6.95,261031.0,40276542.0,5795185.0
141,2021-07-18,7.38,8.14,7.29,7.73,258766.0,44804542.0,5796189.0
142,2021-07-17,8.09,8.49,7.25,7.38,254909.0,42717877.0,5788330.0
143,2021-07-16,8.04,8.29,7.32,8.1,261979.0,46859643.0,5785141.0
144,2021-07-15,8.2,8.25,7.77,8.04,272108.0,46455331.0,5778026.0
145,2021-07-14,7.53,8.3,7.23,8.2,254756.0,47356503.0,5775183.0
146,2021-07-13,8.39,8.48,7.36,7.52,228342.0,43435229.0,5775961.0
147,2021-07-12,8.73,8.8,8.22,8.39,278001.0,48398925.0,5768644.0
148,2021-07-11,8.12,8.76,7.96,8.73,288554.0,50341529.0,5766498.0
149,2021-07-10,8.08,8.49,7.78,8.12,239623.0,46778361.0,5760881.0
150,2021-07-09,7.74,8.15,7.62,8.1,719118.0,46625960.0,5756291.0
151,2021-07-08,8.09,8.1,7.65,7.74,1035714.0,44499537.0,5749294.0
152,2021-07-07,7.74,8.54,7.63,8.08,753013.0,46462295.0,5750284.0
153,2021-07-06,8.21,8.54,7.5,7.73,379433.0,44402533.0,5744182.0
154,2021-07-05,8.46,8.79,7.49,8.23,492029.0,47223680.0,5737992.0
155,2021-07-04,8.54,8.77,8.13,8.46,476835.0,48513974.0,5734512.0
156,2021-07-03,8.05,8.76,7.72,8.54,294030.0,48919739.0,5728306.0
157,2021-07-02,7.79,8.25,7.28,8.05,481806.0,46098699.0,5726546.0
