,Date,Open,High,Low,Close,Volume,Market Cap,Circulating Supply
0,2021-12-06,0.1387,0.1534,0.1066,0.1159,4289444.0,27860845.0,240386928.0
1,2021-12-05,0.1149,0.1515,0.103,0.1387,5447908.0,33337417.0,240356286.0
2,2021-12-04,0.1102,0.1171,0.08455,0.1149,3101569.0,27622283.0,240402811.0
3,2021-12-03,0.1308,0.1384,0.08904,0.1102,5280885.0,26486922.0,240353194.0
4,2021-12-02,0.1511,0.1579,0.1285,0.1307,3072781.0,31431974.0,240489472.0
5,2021-12-01,0.1793,0.1854,0.1498,0.1511,4773926.0,36331636.0,240447624.0
6,2021-11-30,0.1777,0.1914,0.129,0.1792,10932799.0,43091369.0,240465228.0
7,2021-11-29,0.1358,0.1857,0.1347,0.1777,8682923.0,42716359.0,240384687.0
8,2021-11-28,0.1336,0.1425,0.1059,0.1358,6327702.0,32655131.0,240464882.0
9,2021-11-27,0.07274,0.1349,0.06851,0.1336,8639176.0,32110461.0,240347761.0
10,2021-11-26,0.07418,0.07483,0.05756,0.07272,4389148.0,17483578.0,240423239.0
11,2021-11-25,0.04304,0.0765,0.04175,0.04828,1635046.0,11607598.0,240422493.0
12,2021-11-24,0.03389,0.0452,0.03324,0.03436,1197393.0,8260927.0,240422788.0
13,2021-11-23,0.03198,0.03509,0.02947,0.0339,1298202.0,8149083.0,240385929.0
14,2021-11-22,0.02082,0.03397,0.02064,0.03199,1508556.0,7690063.0,240389590.0
15,2021-11-21,0.02206,0.02209,0.02066,0.02082,210466.0,5005890.0,240436599.0
16,2021-11-20,0.02306,0.02381,0.02091,0.02205,292405.0,5301985.0,240452834.0
17,2021-11-19,0.02243,0.02334,0.0217,0.02306,165418.0,5545130.0,240465307.0
18,2021-11-18,0.02376,0.02415,0.02238,0.02243,216461.0,5392697.0,240423406.0
19,2021-11-17,0.02414,0.02785,0.02322,0.02377,155742.0,5713597.0,240370088.0
20,2021-11-16,0.02709,0.0361,0.0241,0.02414,244903.0,5803997.0,240430695.0
21,2021-11-15,0.02742,0.03187,0.02698,0.02706,266778.0,6504703.0,240380746.0
22,2021-11-14,0.02774,0.02782,0.02687,0.02741,205741.0,6590922.0,240456840.0
23,2021-11-13,0.02889,0.0289,0.02767,0.02774,182592.0,6668131.0,240379632.0
24,2021-11-12,0.02873,0.02969,0.02833,0.02886,212272.0,6938858.0,240431670.0
25,2021-11-11,0.02771,0.02936,0.02733,0.02876,247926.0,6914573.0,240423261.0
26,2021-11-10,0.03001,0.03074,0.02752,0.02771,228377.0,6661580.0,240403464.0
27,2021-11-09,0.02955,0.03048,0.02878,0.03001,364595.0,7215356.0,240431722.0
28,2021-11-08,0.03072,0.03072,0.02951,0.02956,229780.0,7107195.0,240432848.0
29,2021-11-07,0.03068,0.03104,0.02985,0.03072,393436.0,7386635.0,240450358.0
30,2021-11-06,0.03066,0.03075,0.03044,0.03067,195100.0,7373922.0,240427844.0
31,2021-11-05,0.03045,0.03167,0.02981,0.03066,227821.0,7370795.0,240404272.0
32,2021-11-04,0.03077,0.03178,0.03035,0.03045,87020.0,7320670.0,240416091.0
33,2021-11-03,0.03156,0.03232,0.03065,0.03078,181442.0,7399649.0,240404450.0
34,2021-11-02,0.034,0.03534,0.03091,0.03155,330645.0,7586047.0,240445229.0
35,2021-11-01,0.03565,0.03598,0.0325,0.03399,3668848.0,8172391.0,240435157.0
36,2021-10-31,0.03429,0.03587,0.03423,0.03567,214093.0,8576458.0,240438968.0
37,2021-10-30,0.03202,0.0346,0.03192,0.03426,235892.0,8235998.0,240396906.0
38,2021-10-29,0.03148,0.03217,0.03098,0.03202,132705.0,7697221.0,240387913.0
39,2021-10-28,0.03018,0.0319,0.03005,0.03147,132918.0,7566567.0,240437464.0
40,2021-10-27,0.03206,0.03406,0.03002,0.03016,203106.0,7250265.0,240393401.0
41,2021-10-26,0.03053,0.03236,0.0299,0.03207,230925.0,7709028.0,240381290.0
42,2021-10-25,0.02921,0.03059,0.02918,0.03052,295495.0,7337528.0,240417038.0
43,2021-10-24,0.02928,0.03009,0.0285,0.02922,197085.0,7024501.0,240400444.0
44,2021-10-23,0.02962,0.02997,0.02903,0.02928,176550.0,7040536.0,240455464.0
45,2021-10-22,0.03071,0.03105,0.02837,0.02962,189612.0,7121607.0,240432376.0
46,2021-10-21,0.03055,0.03117,0.02945,0.03072,220133.0,7384830.0,240391601.0
47,2021-10-20,0.03039,0.03252,0.02893,0.03056,217121.0,7347238.0,240420091.0
48,2021-10-19,0.02904,0.07561,0.02881,0.03043,366374.0,7315311.0,240397995.0
49,2021-10-18,0.02908,0.02987,0.02829,0.02905,262641.0,6983303.0,240389087.0
50,2021-10-17,0.03059,0.03102,0.029,0.02909,211953.0,6992732.0,240382674.0
51,2021-10-16,0.03219,0.0323,0.02993,0.03059,221584.0,7355047.0,240439588.0
52,2021-10-15,0.0335,0.03391,0.03148,0.03219,315647.0,7738643.0,240405187.0
